Task,Workload,Memory,Deadline,Weight,ArrivalTime
T263,772,9,687.49,4,652.01
T264,562,15,701.11,2,656.38
T265,43,16,671.22,4,660.89
T266,597,13,690.69,2,661.47
T267,480,7,678.48,1,664.31
T268,188,14,711.89,3,669.13
T269,773,13,681.0,2,670.42
T270,483,11,715.03,3,672.29
T271,716,9,724.65,3,677.27
T272,236,23,722.27,1,679.54
T273,166,12,723.49,3,681.22
T274,730,21,722.63,1,682.78
T275,408,14,707.89,4,683.94
T276,586,15,713.75,3,684.63
T277,600,20,725.72,3,688.32
T278,607,23,711.35,3,688.41
T279,798,17,704.92,3,688.89
T280,387,16,703.13,2,689.3
T281,482,24,710.05,2,694.19
T282,27,21,738.91,2,697.7
T283,799,21,744.35,4,700.29
T284,469,15,739.04,2,701.49
T285,437,23,744.44,3,701.54
T286,514,19,753.48,1,705.07
T287,284,12,722.26,3,709.57
T288,254,17,748.14,4,709.99
T289,359,20,741.15,1,710.7
T290,105,6,726.27,3,715.63
T291,713,10,742.38,1,718.27
T292,233,10,745.06,1,719.81
T293,707,13,733.46,3,721.16
T294,609,17,765.46,4,724.8
T295,660,6,757.93,3,725.53
T296,336,14,738.15,1,727.6
T297,464,9,746.06,1,728.33
T298,148,18,744.61,2,728.54
T299,270,14,757.12,4,731.52
T300,756,12,776.88,1,735.74
T301,409,16,785.22,1,740.33
T302,364,23,774.58,3,740.46
T303,386,18,770.89,3,745.09
T304,650,17,786.02,2,745.79
T305,206,9,768.56,2,747.41
T306,17,16,760.27,4,748.52
T307,512,14,770.19,1,751.84
T308,603,14,795.12,2,754.87
T309,312,13,766.54,1,755.55
T310,414,20,780.51,3,756.57
T311,743,16,775.27,4,757.53
T312,36,16,807.5,3,760.25
T313,40,13,776.33,2,764.27
T314,32,20,794.88,3,768.08
T315,126,23,808.83,4,773.05
T316,419,19,807.69,2,777.2
T317,165,12,797.13,2,779.46
T318,724,9,823.51,3,783.63
T319,239,20,824.22,1,785.23
T320,277,15,826.85,1,788.91
T321,237,19,830.6,4,793.2
T322,321,8,819.58,2,796.32
T323,447,13,822.13,4,799.66
T324,181,12,826.25,1,800.21
T325,205,22,826.25,4,802.14
T326,406,18,817.38,4,803.39
T327,759,6,854.15,2,805.2
T328,282,16,840.34,4,810.13
T329,590,7,857.75,1,812.31
T330,593,9,844.99,3,817.02
T331,355,16,867.29,2,817.62
T332,254,19,867.81,4,818.49
T333,129,17,839.98,4,823.11
T334,561,9,849.06,3,826.6
T335,200,16,860.29,2,828.31
T336,302,9,847.01,2,828.51
T337,312,20,846.81,2,829.54
T338,315,8,840.68,1,829.61
T339,241,13,845.03,4,831.06
T340,38,8,853.68,1,833.65
T341,721,6,863.23,4,835.12
T342,294,16,885.31,2,837.65
T343,662,16,878.78,4,838.96
T344,146,14,872.59,2,839.31
T345,560,15,881.97,2,840.21
T346,187,15,885.11,4,844.55
T347,46,24,871.81,3,849.42
T348,416,7,867.28,1,852.44
T349,605,9,882.13,1,855.84
T350,572,16,881.76,1,858.71
T351,117,8,909.35,1,862.72
T352,376,10,897.44,2,864.4
T353,190,7,904.41,3,866.54
T354,670,14,918.52,1,869.41
T355,782,6,886.66,2,873.84
T356,75,19,922.22,1,875.21
T357,142,7,909.49,2,877.37
T358,530,13,898.86,2,880.2
T359,48,17,906.85,4,884.94
T360,380,24,933.81,2,888.11
T361,135,17,936.1,1,890.59
T362,414,9,927.66,3,894.58
T363,31,16,945.24,3,897.18
T364,266,11,929.81,1,901.38
T365,565,6,942.52,3,901.92
T366,370,21,916.41,1,906.18
T367,373,9,949.5,1,906.65
T368,668,21,945.06,1,909.23
T369,158,13,933.13,3,910.76
T370,576,24,945.74,3,914.6
T371,89,14,955.22,2,917.89
T372,36,23,936.12,2,920.53
T373,301,15,940.49,4,923.25
T374,279,11,950.43,3,926.36
T375,446,14,957.54,1,927.12
T376,346,20,957.38,4,928.4
T377,695,19,949.9,3,933.17
T378,553,20,969.15,4,936.41
T379,603,10,980.25,4,940.39
T380,14,10,989.92,2,944.21
T381,784,15,967.59,3,945.04
T382,296,9,961.86,3,945.07
T383,534,18,967.99,4,945.8
T384,625,12,986.68,1,946.7
T385,288,8,961.69,1,949.72
T386,748,23,974.95,2,954.59
T387,238,24,975.92,2,955.51
T388,638,9,976.27,4,955.67
T389,353,22,971.6,3,958.81
T390,90,23,1006.56,3,961.29
T391,529,12,983.22,1,964.42
T392,60,20,980.96,4,964.66
T393,754,13,985.58,4,967.0
T394,16,17,986.89,3,969.12
T395,441,23,998.64,1,971.75
T396,662,8,1007.66,3,975.26
T397,66,22,1014.4,4,975.37
T398,258,17,992.36,2,978.42
T399,466,12,1004.37,1,979.1
T400,107,8,1026.15,1,983.45
T401,529,22,1008.94,2,987.69
T402,731,24,1019.87,3,991.01
T403,264,10,1005.91,1,993.53
T404,649,16,1023.41,1,995.21
T405,182,20,1021.8,4,995.88
T406,118,8,1038.34,2,997.22
T407,374,12,1049.05,4,1001.3
T408,90,20,1047.64,2,1002.1
T409,218,7,1048.71,3,1005.58
T410,610,8,1019.02,4,1006.28
T411,301,15,1021.21,3,1011.05
T412,575,18,1044.99,4,1011.61
T413,632,20,1060.54,2,1012.75
T414,759,24,1056.05,2,1015.3
T415,236,7,1049.57,1,1017.27
T416,383,8,1062.26,2,1017.61
T417,796,11,1041.77,2,1020.18
T418,547,15,1040.87,2,1024.47
T419,10,15,1043.93,3,1028.62
T420,636,14,1041.9,2,1031.71
T421,676,23,1083.8,1,1034.91
T422,114,9,1084.75,4,1036.89
T423,436,10,1072.37,2,1039.3
T424,344,10,1083.09,3,1042.8
T425,497,8,1073.51,3,1046.96
T426,737,12,1066.65,4,1051.62
T427,130,7,1076.75,2,1053.5
T428,434,10,1067.99,4,1054.5
T429,475,22,1072.62,3,1059.42
T430,20,24,1087.47,2,1062.71
T431,629,17,1087.43,1,1066.1
T432,755,21,1118.35,4,1070.88
T433,347,7,1122.26,1,1072.53
T434,540,17,1094.08,2,1076.02
T435,630,18,1103.25,4,1080.83
T436,526,7,1119.19,3,1085.64
T437,208,20,1135.45,4,1087.92
T438,272,9,1103.71,1,1090.15
T439,798,24,1118.96,4,1091.34
T440,549,12,1123.98,2,1094.78
T441,600,9,1107.33,3,1097.17
T442,779,20,1142.52,2,1099.74
T443,152,16,1152.56,2,1104.18
T444,741,24,1126.3,2,1108.73
T445,245,20,1156.1,3,1109.51
T446,532,20,1145.05,3,1114.36
T447,793,7,1162.36,3,1118.55
T448,273,22,1169.39,1,1121.81
T449,609,16,1143.32,1,1125.41
T450,472,16,1159.64,1,1129.57
T451,728,13,1148.95,4,1132.2
T452,665,15,1173.27,4,1134.39
T453,110,19,1160.49,4,1137.54
T454,265,14,1154.59,3,1138.75
T455,245,7,1174.49,2,1139.1
T456,96,12,1153.63,2,1140.3
T457,360,9,1154.84,4,1141.47
T458,131,9,1169.39,4,1144.41
T459,647,18,1161.35,4,1148.51
T460,458,16,1194.91,1,1148.59
T461,797,17,1169.35,4,1149.75
T462,494,12,1185.26,3,1154.19
T463,263,7,1204.85,2,1155.54
T464,321,6,1196.77,1,1157.49
T465,677,21,1204.63,3,1160.69
T466,414,8,1194.72,3,1163.57
T467,56,13,1213.73,2,1164.37
T468,536,20,1197.32,1,1165.23
T469,238,6,1177.35,1,1165.59
T470,55,10,1214.95,2,1166.56
T471,412,23,1214.28,1,1171.08
T472,741,8,1200.13,2,1175.1
T473,733,15,1219.74,3,1175.64
T474,524,15,1208.06,3,1179.68
T475,19,15,1211.4,1,1179.73
T476,692,22,1204.23,4,1184.44
T477,356,24,1203.42,2,1188.16
T478,786,8,1227.47,2,1190.86
T479,238,19,1216.29,1,1191.15
T480,270,7,1240.2,3,1193.51
T481,581,14,1225.51,4,1198.48
T482,196,15,1215.27,4,1201.69
T483,745,23,1227.55,4,1206.06
T484,577,8,1233.4,2,1207.16
T485,359,19,1239.21,2,1209.58
T486,386,14,1262.65,3,1212.72
T487,50,22,1231.93,3,1216.74
T488,698,18,1249.86,3,1219.43
T489,47,11,1240.25,3,1222.57
T490,168,10,1242.81,4,1226.44
T491,629,14,1243.51,1,1227.3
T492,201,7,1252.0,3,1229.43
T493,125,16,1244.29,2,1232.7
T494,717,13,1267.01,2,1237.47
T495,415,17,1252.59,4,1241.99
T496,380,10,1265.66,1,1244.0
T497,775,18,1272.77,3,1246.58
T498,701,12,1297.13,1,1247.4
T499,459,9,1291.43,4,1249.17
T500,26,7,1263.42,2,1253.09
T501,272,24,1300.87,4,1254.04
T502,12,22,1294.11,4,1258.27
T503,213,13,1308.71,1,1260.87
T504,196,21,1278.05,3,1261.17
T505,774,7,1294.87,4,1262.23
T506,28,17,1291.43,3,1264.36
T507,651,15,1309.11,4,1267.74
T508,208,22,1306.15,2,1271.84
T509,657,18,1322.96,1,1275.44
T510,573,20,1306.8,2,1277.5
T511,144,14,1316.28,4,1278.76
T512,519,11,1300.48,3,1283.04
T513,262,11,1314.83,1,1283.09
T514,346,24,1301.49,1,1286.56
T515,480,10,1340.22,1,1290.8
T516,224,21,1329.67,4,1294.26
T517,140,24,1320.62,4,1294.31
T518,139,18,1342.36,3,1297.38
T519,325,7,1339.93,3,1300.47
T520,593,10,1345.59,1,1303.67
T521,75,15,1326.55,2,1306.54
T522,42,13,1330.87,2,1311.47
T523,27,9,1328.57,4,1315.41
T524,557,6,1342.75,2,1316.93
T525,637,13,1329.33,1,1317.88
T526,540,12,1366.93,1,1320.54
T527,229,16,1341.35,4,1323.73
T528,94,23,1350.19,4,1326.58
T529,93,19,1351.37,1,1330.57
T530,210,16,1344.38,2,1333.63
T531,633,7,1382.33,3,1336.66
T532,181,23,1389.51,2,1340.59
T533,63,16,1359.77,4,1343.99
T534,397,13,1366.41,1,1345.57
T535,724,11,1359.17,2,1346.73
T536,243,8,1361.29,4,1347.99
T537,626,24,1391.84,1,1348.17
T538,205,22,1385.15,1,1349.54
T539,550,22,1366.17,3,1354.29
T540,252,18,1379.94,1,1356.42
T541,349,20,1385.67,1,1360.79
T542,459,8,1379.78,3,1361.81
T543,596,23,1392.83,3,1362.73
T544,131,11,1377.56,3,1367.21
T545,596,15,1401.04,3,1369.56
T546,129,10,1412.09,3,1370.25
T547,319,24,1392.55,2,1375.24
T548,150,12,1413.18,4,1378.2
T549,394,15,1422.45,4,1382.92
T550,119,11,1412.24,1,1383.87
T551,176,6,1424.93,2,1387.41
T552,425,7,1420.31,4,1387.81
T553,173,22,1431.62,2,1388.65
T554,621,9,1419.03,1,1391.23
T555,245,21,1421.14,3,1394.99
T556,52,15,1412.49,2,1395.93
T557,677,20,1433.23,3,1399.09
T558,525,22,1449.19,3,1402.19
T559,344,11,1447.87,4,1407.14
T560,710,22,1435.35,2,1411.78
T561,445,6,1465.18,2,1415.62
T562,649,18,1447.22,1,1417.01
T563,28,16,1430.06,3,1419.11
T564,600,18,1434.11,2,1420.33
T565,265,23,1458.07,1,1422.01
T566,526,24,1450.58,3,1422.52
T567,550,11,1464.86,1,1423.43
T568,769,10,1467.47,1,1427.94
T569,414,7,1451.33,1,1432.68
T570,136,16,1473.04,1,1435.86
T571,248,18,1451.62,4,1437.38
T572,70,9,1455.18,1,1437.48
T573,216,11,1464.81,1,1442.4
T574,667,22,1495.72,4,1447.0
T575,366,16,1477.73,2,1448.49
T576,486,15,1473.65,2,1453.19
T577,209,17,1488.1,4,1454.12
T578,698,15,1500.57,2,1456.81
T579,412,10,1507.96,2,1459.29
T580,641,8,1479.19,3,1460.76
T581,276,22,1486.9,4,1461.67
T582,651,8,1488.46,4,1464.68
T583,751,19,1510.68,1,1464.98
T584,12,21,1484.86,4,1469.53
T585,762,12,1497.24,2,1471.56
T586,505,8,1508.29,2,1474.92
T587,744,23,1487.58,3,1477.35
T588,398,18,1511.39,4,1478.66
T589,778,9,1513.97,1,1479.86
T590,74,20,1525.71,2,1484.43
T591,769,21,1500.33,3,1488.12
T592,769,18,1530.64,2,1490.37
T593,495,22,1529.64,2,1494.78
T594,777,20,1536.61,4,1498.11
T595,31,16,1523.26,1,1500.39
T596,233,9,1518.34,1,1501.21
T597,25,15,1518.79,3,1504.51
T598,285,11,1539.21,2,1507.63
T599,127,21,1561.4,2,1511.88
T600,102,16,1556.48,1,1513.24
T601,437,17,1542.54,1,1516.66
T602,416,15,1552.72,1,1518.15
T603,569,24,1532.35,3,1518.55
T604,645,24,1534.2,3,1522.74
T605,786,20,1544.2,3,1527.08
T606,675,15,1581.18,2,1531.19
T607,129,7,1582.11,4,1534.01
T608,242,15,1569.68,3,1534.93
T609,77,11,1568.34,4,1536.67
T610,347,10,1579.39,3,1537.92
T611,730,6,1568.08,3,1541.4
T612,413,9,1557.66,3,1542.01
T613,341,22,1566.97,1,1546.29
T614,523,24,1581.37,1,1549.96
T615,415,9,1562.35,1,1552.28
T616,740,10,1593.7,2,1557.18
T617,469,18,1600.3,1,1560.53
T618,195,22,1602.1,4,1565.24
T619,618,18,1594.75,1,1567.02
T620,363,14,1609.82,4,1571.19
T621,169,13,1594.38,4,1576.08
T622,508,7,1596.22,2,1579.91
T623,465,19,1597.14,3,1581.12
T624,785,18,1594.28,1,1582.19
T625,431,12,1593.43,1,1582.78
T626,531,22,1635.42,3,1587.57
T627,508,20,1599.47,4,1589.34
T628,69,17,1635.74,2,1593.45
T629,80,13,1642.62,4,1594.37
T630,194,18,1622.32,2,1597.04
T631,88,21,1630.14,4,1601.55
T632,449,12,1651.32,4,1603.86
T633,527,21,1640.36,3,1607.48
T634,711,24,1639.07,4,1609.41
T635,574,8,1623.99,3,1610.25
T636,586,22,1659.2,1,1611.59
T637,653,10,1639.0,3,1615.79
T638,640,17,1650.78,4,1618.29
T639,182,12,1643.41,1,1621.33
T640,74,19,1675.13,4,1625.47
T641,452,20,1646.65,4,1627.19
T642,658,19,1666.81,3,1631.13
T643,242,16,1678.48,1,1634.8
T644,352,19,1659.55,3,1639.7
T645,296,14,1659.21,4,1640.49
T646,449,13,1654.62,3,1643.37
T647,606,15,1685.98,3,1647.71
T648,34,7,1691.98,3,1648.45
T649,789,19,1692.12,3,1649.27
T650,566,18,1661.05,4,1650.53
T651,116,11,1696.12,1,1654.5
T652,298,16,1681.99,1,1657.34
T653,300,24,1682.64,2,1658.72
T654,563,15,1674.34,4,1660.73
T655,283,9,1695.64,3,1661.92
T656,11,6,1676.15,1,1664.03
T657,621,11,1692.69,4,1668.81
T658,35,15,1700.23,3,1668.88
T659,236,16,1714.42,3,1670.96
T660,762,8,1702.32,1,1674.28
T661,202,19,1698.98,3,1677.53
T662,664,23,1715.71,3,1681.93
T663,523,7,1722.17,1,1684.43
T664,342,19,1701.85,2,1685.58
T665,655,6,1699.23,1,1686.53
T666,414,17,1714.47,1,1689.89
T667,68,24,1713.53,1,1694.2
T668,439,20,1744.65,2,1698.18
T669,532,14,1743.69,1,1703.09
T670,567,14,1737.82,4,1705.46
T671,701,7,1721.8,4,1705.78
T672,767,12,1746.02,3,1706.7
T673,360,13,1739.83,3,1711.39
T674,353,17,1741.88,1,1715.69
T675,734,14,1735.28,4,1720.5
T676,773,8,1743.52,4,1723.84
T677,657,18,1763.52,4,1728.69
T678,259,7,1766.59,4,1732.85
T679,709,18,1754.3,2,1733.91
T680,690,8,1779.18,4,1736.74
T681,719,11,1765.64,3,1736.98
T682,192,13,1755.7,2,1741.32
T683,121,22,1761.5,3,1742.58
T684,655,20,1777.9,4,1743.28
T685,248,7,1762.46,1,1747.34
T686,60,8,1758.63,4,1747.86
T687,412,22,1778.5,4,1751.0
T688,636,23,1779.59,2,1753.69
T689,291,7,1774.19,3,1754.79
T690,799,13,1770.87,1,1755.58
T691,19,23,1797.11,1,1757.34
T692,752,8,1783.12,2,1760.6
T693,722,16,1802.45,4,1761.02
T694,177,7,1780.13,3,1761.68
T695,319,23,1791.1,1,1766.19
T696,145,6,1813.04,3,1768.24
T697,361,8,1804.72,4,1770.03
T698,330,20,1810.46,3,1771.31
T699,482,17,1805.39,1,1772.08
T700,365,10,1812.01,1,1772.65
T701,334,8,1813.79,2,1773.98
T702,445,8,1824.06,2,1778.14
T703,271,10,1830.16,4,1782.11
T704,557,8,1830.38,3,1785.81
T705,488,17,1828.88,2,1788.72
T706,224,14,1811.12,2,1793.03
T707,244,21,1820.55,2,1795.65
T708,227,23,1820.13,2,1798.22
T709,318,18,1837.01,4,1801.69
T710,784,21,1832.95,4,1804.36
T711,80,20,1817.33,3,1806.93
T712,46,9,1834.54,3,1810.84
T713,34,21,1853.43,2,1812.76
T714,540,11,1836.34,2,1815.07
T715,636,15,1830.8,2,1815.86
T716,308,15,1832.7,1,1817.83
T717,615,17,1863.09,3,1818.39
T718,127,15,1833.35,1,1819.99
T719,198,18,1855.1,3,1820.52
T720,554,22,1866.8,3,1823.45
T721,605,19,1874.69,3,1826.2
T722,775,21,1849.39,4,1826.42
T723,749,18,1872.28,3,1828.88
T724,527,11,1877.1,2,1832.4
T725,530,14,1864.64,4,1835.08
T726,267,10,1848.0,3,1837.5
T727,249,8,1886.4,1,1840.1
T728,685,18,1859.97,4,1842.03
T729,92,20,1885.58,1,1843.81
T730,306,13,1861.72,4,1844.33
T731,118,13,1880.59,3,1847.53
T732,758,24,1897.72,3,1848.01
T733,22,21,1882.68,3,1849.46
T734,383,14,1886.18,2,1851.63
T735,36,6,1898.79,3,1854.97
T736,132,13,1876.48,2,1858.94
T737,731,11,1900.06,3,1863.33
T738,412,18,1910.71,1,1865.11
T739,640,10,1884.05,2,1868.0
T740,377,22,1883.22,1,1870.43
T741,597,24,1917.65,1,1873.56
T742,510,17,1914.0,4,1875.07
T743,794,9,1904.69,2,1876.91
T744,394,7,1893.02,3,1879.8
T745,689,20,1929.12,2,1879.93
T746,589,20,1922.16,1,1882.74
T747,311,17,1925.2,1,1883.14
T748,451,9,1913.65,4,1886.2
T749,112,19,1930.07,4,1890.67
T750,242,21,1910.81,3,1895.3
T751,773,15,1944.33,3,1898.06
T752,707,20,1936.81,1,1898.08
T753,363,11,1932.19,4,1900.46
T754,702,10,1936.98,1,1901.75
T755,382,18,1953.17,1,1905.88
T756,674,9,1956.73,3,1909.48
T757,549,8,1931.5,1,1910.97
T758,13,13,1955.11,2,1915.08
T759,343,6,1951.07,3,1916.96
T760,625,12,1931.98,3,1921.58
T761,560,12,1933.98,1,1923.1
T762,44,14,1963.6,1,1924.04
T763,588,10,1972.63,4,1926.84
T764,64,24,1943.08,4,1930.81
T765,621,13,1951.31,2,1931.43
T766,85,9,1968.69,2,1935.57
T767,52,24,1958.83,1,1938.14
T768,641,19,1972.93,1,1938.35
T769,145,8,1983.84,2,1942.09
T770,775,8,1974.38,4,1946.76
T771,246,10,1998.99,3,1949.45
T772,538,9,1994.47,3,1950.57
T773,191,14,1979.93,1,1951.57
T774,656,12,1996.34,2,1954.47
T775,108,13,1972.18,1,1954.95
T776,438,13,1987.31,1,1955.04
