Task,Workload,Memory,Weight,ArrivalTime,Phase,Tokens
T79,DeepSeek-R1,672.0,5,8.5569,0,1504
T80,Llama3-8B,16.0,3,8.7943,1,6707
T81,Llama3-70B,140.0,5,8.9284,1,4134
T82,Qwen3,30.0,8,8.9326,0,1020
T83,DeepSeek-R1,672.0,6,9.2912,1,3857
T84,GLM4.7,356.0,3,9.5104,1,7538
T85,GLM4.7,356.0,5,9.5205,1,4570
T86,Mistral-7B,14.0,9,9.6565,0,1794
T87,DeepSeek-R1,672.0,5,9.7218,1,3088
T88,GLM4.7,356.0,7,9.9419,1,6840
T89,Llama3-8B,16.0,9,9.9565,0,130
T90,Llama3-70B,140.0,9,10.0576,1,2048
T91,GLM4.7,356.0,8,10.1799,1,4595
T92,DeepSeek-R1,672.0,3,10.213,1,5011
T93,GLM4.7,356.0,8,10.3417,1,6232
T94,DeepSeek-R1,672.0,10,10.4754,1,5673
T95,Qwen3,30.0,9,10.5038,0,764
T96,DeepSeek-R1,672.0,4,10.5491,1,1275
T97,DeepSeek-R1,672.0,3,10.5899,1,1474
T98,Llama3-70B,140.0,9,10.6577,0,725
T99,Mistral-7B,14.0,8,10.6851,1,7350
T100,Llama3-70B,140.0,3,10.6874,1,5027
T101,Llama3-70B,140.0,9,10.7118,1,5422
T102,Mistral-7B,14.0,2,10.9319,0,1897
T103,GLM4.7,356.0,7,10.966,0,1877
T104,GLM4.7,356.0,5,10.9711,0,1167
T105,DeepSeek-R1,672.0,10,11.0109,1,2957
T106,Llama3-8B,16.0,3,11.022,0,1130
T107,Llama3-70B,140.0,6,11.0269,1,3339
T108,Llama3-8B,16.0,8,11.1217,0,900
T109,GLM4.7,356.0,4,11.1605,0,1556
T110,Llama3-8B,16.0,7,11.232,1,7524
T111,DeepSeek-R1,672.0,7,11.2349,1,4386
T112,Llama3-70B,140.0,3,11.3798,0,1750
T113,Llama3-70B,140.0,9,11.3949,0,386
T114,Llama3-8B,16.0,8,11.4471,1,1334
T115,DeepSeek-R1,672.0,1,11.4524,1,4255
T116,Mistral-7B,14.0,3,11.5057,1,7646
T117,DeepSeek-R1,672.0,6,11.5631,1,2683
T118,Llama3-8B,16.0,2,11.6395,1,5835
T119,GLM4.7,356.0,9,11.7602,0,1887
T120,Llama3-70B,140.0,8,11.9002,0,1411
T121,Llama3-8B,16.0,4,11.9343,1,1072
T122,Mistral-7B,14.0,4,12.1992,1,2866
T123,Mistral-7B,14.0,2,12.2421,1,1318
T124,Llama3-70B,140.0,1,12.3108,1,2965
T125,DeepSeek-R1,672.0,5,12.3314,1,971
T126,GLM4.7,356.0,4,12.362,1,1704
T127,Llama3-8B,16.0,3,12.4328,1,6097
T128,Qwen3,30.0,7,12.4599,1,5504
T129,Llama3-8B,16.0,10,12.4765,1,4588
T130,Qwen3,30.0,5,12.4903,1,5737
T131,Llama3-70B,140.0,8,12.7361,1,588
T132,GLM4.7,356.0,2,12.9596,1,1806
T133,Llama3-70B,140.0,5,13.0978,0,1331
T134,Mistral-7B,14.0,5,13.1371,0,1541
T135,Llama3-70B,140.0,7,13.1695,0,535
T136,Llama3-70B,140.0,10,13.1992,1,3636
T137,GLM4.7,356.0,5,13.244,1,6240
T138,DeepSeek-R1,672.0,7,13.2528,0,1476
T139,GLM4.7,356.0,1,13.26,1,7598
T140,Llama3-8B,16.0,5,13.2602,0,1833
T141,Qwen3,30.0,4,13.2733,1,3398
T142,Mistral-7B,14.0,3,13.3403,1,2565
T143,Mistral-7B,14.0,1,13.3413,1,5652
T144,GLM4.7,356.0,10,13.3489,0,196
T145,GLM4.7,356.0,5,13.387,0,312
T146,GLM4.7,356.0,4,13.5858,0,487
T147,Qwen3,30.0,6,13.6174,0,1922
T148,Llama3-8B,16.0,3,13.7299,1,2744
T149,GLM4.7,356.0,5,13.7515,0,1114
T150,Mistral-7B,14.0,2,13.834,0,1775
T151,Llama3-70B,140.0,4,13.8987,0,416
T152,Mistral-7B,14.0,9,13.9273,0,941
T153,GLM4.7,356.0,1,13.9562,1,3744
T154,GLM4.7,356.0,6,14.2864,1,4237
T155,Mistral-7B,14.0,10,14.3457,0,664
T156,Llama3-70B,140.0,2,14.4694,0,888
T157,Mistral-7B,14.0,10,14.7828,1,717
T158,Llama3-8B,16.0,4,14.8354,1,5509
T159,Mistral-7B,14.0,8,14.9222,1,7261
T160,Mistral-7B,14.0,2,14.9689,1,3856
T161,Qwen3,30.0,5,14.9999,1,816
T162,Llama3-70B,140.0,9,15.0161,1,2435
T163,Qwen3,30.0,9,15.0475,1,3551
T164,Llama3-70B,140.0,3,15.2595,1,6464
T165,Llama3-70B,140.0,8,15.3757,1,7341
T166,Llama3-8B,16.0,1,15.4129,1,2803
T167,Mistral-7B,14.0,8,15.4642,1,4144
T168,Qwen3,30.0,6,15.5858,0,331
T169,Llama3-8B,16.0,6,15.6839,0,1448
T170,DeepSeek-R1,672.0,2,15.6958,1,2066
T171,Llama3-70B,140.0,10,15.7339,1,2249
T172,DeepSeek-R1,672.0,4,15.7727,1,3244
T173,Qwen3,30.0,2,15.8089,0,548
T174,Llama3-8B,16.0,4,15.9855,1,2281
T175,GLM4.7,356.0,10,16.2078,0,1743
T176,DeepSeek-R1,672.0,3,16.4131,1,1697
T177,Llama3-8B,16.0,2,16.51,1,1941
T178,Mistral-7B,14.0,1,16.6093,0,397
T179,GLM4.7,356.0,10,16.7594,0,615
T180,GLM4.7,356.0,1,16.8065,1,2685
T181,Qwen3,30.0,2,16.8297,0,1205
T182,Mistral-7B,14.0,6,16.9043,1,4184
T183,Llama3-8B,16.0,9,16.9651,1,4214
T184,Qwen3,30.0,9,17.0125,0,216
T185,GLM4.7,356.0,1,17.5879,1,767
T186,Llama3-70B,140.0,2,18.2111,0,1001
T187,Llama3-70B,140.0,2,18.2416,0,1036
T188,DeepSeek-R1,672.0,2,18.4764,1,1727
T189,Qwen3,30.0,10,18.509,1,5698
T190,Llama3-8B,16.0,10,18.9267,0,908
T191,Llama3-8B,16.0,10,18.9487,1,4653
T192,Llama3-70B,140.0,2,18.9728,1,6260
T193,Mistral-7B,14.0,9,19.0191,1,6811
T194,Mistral-7B,14.0,8,19.081,0,1008
T195,Qwen3,30.0,8,19.2598,1,7290
T196,Llama3-70B,140.0,6,19.7816,1,1290
T197,Llama3-70B,140.0,6,19.7893,1,2600
T198,Qwen3,30.0,2,19.97,1,4397
T199,DeepSeek-R1,672.0,7,19.9839,0,318
T200,DeepSeek-R1,672.0,3,20.052,0,891
T201,Llama3-8B,16.0,9,20.12,1,5112
T202,GLM4.7,356.0,6,20.1311,1,3877
T203,Mistral-7B,14.0,1,20.2158,0,994
T204,GLM4.7,356.0,2,20.3189,1,3392
T205,Llama3-8B,16.0,8,20.38,1,1779
T206,Qwen3,30.0,9,20.4196,0,845
T207,GLM4.7,356.0,10,20.7221,1,2794
T208,Qwen3,30.0,9,20.7887,0,1858
T209,Llama3-8B,16.0,9,20.9511,1,5776
T210,DeepSeek-R1,672.0,5,20.9612,1,5900
T211,DeepSeek-R1,672.0,5,21.0072,1,6268
T212,GLM4.7,356.0,3,21.0223,1,1998
T213,Llama3-8B,16.0,3,21.0941,1,1082
T214,Mistral-7B,14.0,2,21.0961,1,763
T215,Mistral-7B,14.0,7,21.108,1,3593
T216,Llama3-70B,140.0,5,21.1504,1,3543
T217,Mistral-7B,14.0,10,21.1569,1,5161
T218,DeepSeek-R1,672.0,3,21.1788,0,446
T219,Llama3-8B,16.0,5,21.1789,1,1180
T220,Llama3-70B,140.0,10,21.2573,1,4490
T221,Llama3-70B,140.0,9,21.3843,1,2277
T222,DeepSeek-R1,672.0,5,21.4944,1,1420
T223,Mistral-7B,14.0,9,21.5526,1,4498
T224,Mistral-7B,14.0,7,21.7282,1,2318
T225,Llama3-8B,16.0,5,21.7383,1,2186
T226,Qwen3,30.0,5,21.7918,0,1693
T227,GLM4.7,356.0,8,21.905,1,575
T228,Mistral-7B,14.0,7,22.108,1,1570
T229,Llama3-8B,16.0,9,22.1565,0,1152
T230,Mistral-7B,14.0,7,22.4307,0,275
T231,Mistral-7B,14.0,8,22.6862,1,665
T232,DeepSeek-R1,672.0,7,22.7504,0,1307
T233,Llama3-8B,16.0,7,22.8231,1,5756
T234,GLM4.7,356.0,6,22.9143,1,682
T235,Qwen3,30.0,8,22.9426,0,1393
T236,Mistral-7B,14.0,7,23.0152,0,308
T237,DeepSeek-R1,672.0,7,23.2494,1,5336
T238,Llama3-8B,16.0,5,23.3512,1,7643
T239,Mistral-7B,14.0,3,23.3695,1,3240
T240,DeepSeek-R1,672.0,9,23.6336,1,1446
T241,Llama3-8B,16.0,6,23.6593,1,6870
T242,GLM4.7,356.0,3,23.7337,0,1805
T243,Qwen3,30.0,4,23.7568,1,2608
T244,Qwen3,30.0,2,23.7641,1,6739
T245,Qwen3,30.0,8,24.2821,0,1414
T246,Llama3-70B,140.0,10,24.2995,0,1684
T247,Llama3-70B,140.0,10,24.4266,1,7737
T248,Mistral-7B,14.0,6,24.7189,1,5628
T249,Mistral-7B,14.0,2,25.0293,1,4114
T250,Llama3-70B,140.0,5,25.1425,1,2992
T251,Llama3-8B,16.0,2,25.2389,1,4668
T252,GLM4.7,356.0,1,25.2678,1,820
T253,GLM4.7,356.0,2,25.4763,0,285
T254,Llama3-8B,16.0,8,25.5712,1,3661
T255,Llama3-8B,16.0,1,25.7726,1,6998
T256,Llama3-70B,140.0,4,25.8788,0,1298
T257,GLM4.7,356.0,3,25.8979,1,4619
T258,DeepSeek-R1,672.0,6,26.065,1,7155
T259,Mistral-7B,14.0,3,26.1391,1,5805
T260,DeepSeek-R1,672.0,8,26.4557,1,4098
T261,Llama3-8B,16.0,6,26.5177,1,1812
T262,GLM4.7,356.0,7,26.8108,0,921
T263,GLM4.7,356.0,6,26.8114,1,940
T264,DeepSeek-R1,672.0,7,26.8485,1,5082
T265,GLM4.7,356.0,10,26.9226,1,7488
T266,Qwen3,30.0,3,26.9648,1,5285
T267,GLM4.7,356.0,7,26.969,1,5886
T268,Qwen3,30.0,5,27.0076,1,1206
T269,Llama3-8B,16.0,6,27.1098,1,6997
T270,Qwen3,30.0,9,27.1306,1,7302
T271,DeepSeek-R1,672.0,9,27.2471,1,3980
T272,GLM4.7,356.0,3,27.2795,1,3042
T273,Qwen3,30.0,8,27.3066,1,6788
T274,Qwen3,30.0,3,27.3936,1,1638
T275,DeepSeek-R1,672.0,2,27.3969,1,6968
T276,Llama3-8B,16.0,9,27.4902,0,1838
T277,DeepSeek-R1,672.0,10,27.5163,1,7691
T278,Qwen3,30.0,3,27.584,1,1775
T279,Qwen3,30.0,10,27.602,0,1707
T280,Qwen3,30.0,7,27.6612,0,217
T281,GLM4.7,356.0,8,27.7884,1,2457
T282,Llama3-8B,16.0,8,27.8475,1,6644
T283,Qwen3,30.0,8,28.0684,1,3047
T284,Qwen3,30.0,8,28.5522,1,5184
T285,Llama3-70B,140.0,7,28.8294,0,1721
T286,Llama3-8B,16.0,4,28.8676,1,1839
T287,Llama3-8B,16.0,1,28.959,1,2560
T288,Mistral-7B,14.0,9,28.9992,1,3552
T289,DeepSeek-R1,672.0,2,29.1255,0,1184
T290,GLM4.7,356.0,5,29.1836,1,1825
T291,Llama3-70B,140.0,7,29.204,0,429
T292,DeepSeek-R1,672.0,8,29.2089,0,582
T293,GLM4.7,356.0,1,29.2293,0,977
T294,Llama3-70B,140.0,7,29.4154,1,2443
T295,DeepSeek-R1,672.0,6,29.4633,1,742
T296,DeepSeek-R1,672.0,6,29.726,0,1459
T297,Qwen3,30.0,8,29.7518,1,2862
T298,Mistral-7B,14.0,8,29.7726,0,1682
T299,Llama3-70B,140.0,2,30.1626,1,7932
T300,DeepSeek-R1,672.0,3,30.1863,1,7352
T301,Llama3-8B,16.0,9,30.2415,0,1374
T302,Llama3-70B,140.0,4,30.3104,1,2872
T303,GLM4.7,356.0,7,30.4485,1,2465
T304,Mistral-7B,14.0,2,30.4566,0,1064
T305,DeepSeek-R1,672.0,10,30.5839,0,1151
T306,Llama3-8B,16.0,10,30.6326,1,4733
T307,Qwen3,30.0,7,30.7757,0,724
T308,DeepSeek-R1,672.0,10,30.926,1,2482
T309,Llama3-70B,140.0,2,30.9691,1,5986
T310,Llama3-8B,16.0,9,31.0331,0,266
T311,Llama3-8B,16.0,9,31.3374,1,4670
T312,DeepSeek-R1,672.0,1,31.3723,1,4363
T313,Mistral-7B,14.0,5,31.4883,1,3570
T314,Mistral-7B,14.0,2,31.5551,1,6971
T315,GLM4.7,356.0,2,31.647,1,5894
T316,Llama3-8B,16.0,3,31.7119,0,808
T317,DeepSeek-R1,672.0,3,31.7842,1,3285
T318,Mistral-7B,14.0,8,31.8557,1,6208
T319,Mistral-7B,14.0,2,31.8831,1,1616
T320,Mistral-7B,14.0,1,31.9475,0,1065
T321,GLM4.7,356.0,4,31.9713,1,6992
T322,DeepSeek-R1,672.0,9,32.0,1,3052
T323,Llama3-70B,140.0,8,32.0481,0,1240
T324,GLM4.7,356.0,4,32.0741,1,5811
T325,GLM4.7,356.0,1,32.4018,1,6908
T326,Mistral-7B,14.0,6,32.4939,1,1531
T327,Llama3-70B,140.0,8,32.4942,0,1650
T328,Llama3-70B,140.0,8,32.6988,1,2042
T329,Mistral-7B,14.0,9,32.7353,1,8083
T330,GLM4.7,356.0,7,32.7719,0,1617
T331,DeepSeek-R1,672.0,3,32.8029,1,7248
T332,Llama3-8B,16.0,2,33.1694,1,1352
T333,GLM4.7,356.0,8,33.2119,1,3022
T334,Llama3-8B,16.0,8,33.3789,0,469
T335,GLM4.7,356.0,6,33.4489,1,6466
T336,Llama3-8B,16.0,1,33.5314,0,690
T337,DeepSeek-R1,672.0,6,33.5845,1,3839
T338,Llama3-8B,16.0,3,33.6398,0,1519
T339,DeepSeek-R1,672.0,8,33.6682,1,5489
T340,DeepSeek-R1,672.0,6,33.7606,1,2445
T341,GLM4.7,356.0,1,33.835,1,5158
T342,Llama3-8B,16.0,6,33.8659,1,4197
T343,GLM4.7,356.0,10,33.9571,1,1141
T344,Qwen3,30.0,6,34.0855,1,3772
T345,Mistral-7B,14.0,1,34.2307,1,1441
T346,Mistral-7B,14.0,7,34.6975,1,4753
T347,Llama3-8B,16.0,5,34.7761,1,6860
T348,Mistral-7B,14.0,5,34.8177,1,5524
T349,Mistral-7B,14.0,4,34.907,0,1133
T350,DeepSeek-R1,672.0,8,35.177,1,1118
T351,Qwen3,30.0,2,35.2286,0,1039
T352,Mistral-7B,14.0,6,35.321,0,782
T353,Mistral-7B,14.0,5,35.4393,1,4953
T354,GLM4.7,356.0,3,35.8096,0,1585
T355,GLM4.7,356.0,4,35.8806,1,1506
T356,Qwen3,30.0,1,35.9204,1,4559
T357,GLM4.7,356.0,8,35.9637,1,3534
T358,Llama3-8B,16.0,2,35.9715,1,7755
T359,DeepSeek-R1,672.0,8,35.9877,1,6385
T360,Llama3-8B,16.0,10,36.0361,1,3866
T361,DeepSeek-R1,672.0,2,36.4273,1,3109
T362,Llama3-70B,140.0,6,36.4538,1,4750
T363,Qwen3,30.0,9,36.4563,0,1725
T364,Mistral-7B,14.0,3,36.4866,1,6801
T365,Llama3-70B,140.0,1,36.4966,1,7624
T366,DeepSeek-R1,672.0,3,36.8236,1,3003
T367,Qwen3,30.0,4,36.8282,1,6322
T368,GLM4.7,356.0,5,37.0615,0,1190
T369,DeepSeek-R1,672.0,9,37.0975,1,5714
T370,GLM4.7,356.0,10,37.1828,1,2992
T371,Llama3-8B,16.0,3,37.3758,1,5762
T372,Llama3-8B,16.0,3,37.3988,0,443
T373,Mistral-7B,14.0,10,37.5482,1,7901
T374,GLM4.7,356.0,1,37.5569,0,1282
T375,DeepSeek-R1,672.0,10,37.5932,1,5766
T376,GLM4.7,356.0,10,37.6738,1,6794
T377,Llama3-70B,140.0,8,38.0301,1,760
T378,Mistral-7B,14.0,5,38.1255,1,5770
T379,Llama3-70B,140.0,7,38.2797,1,7125
T380,GLM4.7,356.0,1,38.2907,1,6153
T381,Qwen3,30.0,8,38.2917,1,4478
T382,Qwen3,30.0,6,38.5023,1,1688
T383,Mistral-7B,14.0,6,38.556,1,7563
T384,Llama3-70B,140.0,9,38.8,1,3547
T385,Llama3-8B,16.0,8,38.9313,1,2492
T386,DeepSeek-R1,672.0,3,39.0058,1,2542
T387,DeepSeek-R1,672.0,10,39.2035,1,3658
T388,Llama3-70B,140.0,3,39.231,1,7600
T389,GLM4.7,356.0,6,39.3687,0,1604
T390,Qwen3,30.0,9,39.604,0,1148
T391,Llama3-70B,140.0,8,39.7673,1,3039
T392,DeepSeek-R1,672.0,9,39.8012,1,3733
T393,Llama3-70B,140.0,10,39.8061,0,568
T394,GLM4.7,356.0,8,40.0708,1,2816
T395,Llama3-8B,16.0,8,40.1118,0,1467
T396,GLM4.7,356.0,2,40.291,1,7452
T397,Llama3-70B,140.0,6,40.3564,1,2678
T398,Llama3-70B,140.0,1,40.3748,1,3793
T399,Llama3-8B,16.0,9,40.4715,1,3481
T400,GLM4.7,356.0,8,40.5375,1,4642
T401,Llama3-8B,16.0,10,40.5386,1,5617
T402,DeepSeek-R1,672.0,7,40.8293,1,1304
T403,GLM4.7,356.0,9,40.8552,0,822
T404,GLM4.7,356.0,10,40.9212,0,535
T405,Llama3-8B,16.0,1,41.4702,1,841
T406,DeepSeek-R1,672.0,8,41.5285,1,3240
T407,Llama3-8B,16.0,9,41.5833,1,5478
T408,Qwen3,30.0,6,41.6872,1,5534
T409,Qwen3,30.0,5,41.7298,1,5562
T410,Llama3-8B,16.0,9,41.8014,1,7297
T411,Llama3-8B,16.0,5,42.1426,1,5123
T412,Llama3-70B,140.0,6,42.3052,0,882
T413,Mistral-7B,14.0,10,42.3747,1,3924
T414,GLM4.7,356.0,1,42.4008,0,1613
T415,Llama3-8B,16.0,10,42.4168,1,5882
T416,Llama3-8B,16.0,10,42.4348,1,932
T417,Llama3-70B,140.0,10,42.4869,1,5664
T418,Llama3-70B,140.0,4,42.636,1,6088
T419,DeepSeek-R1,672.0,2,42.6724,1,6250
T420,Qwen3,30.0,7,42.8366,1,3081
T421,Qwen3,30.0,7,42.9297,1,2182
T422,Llama3-8B,16.0,8,42.9818,0,2013
T423,Mistral-7B,14.0,3,43.0351,0,1573
T424,Llama3-8B,16.0,8,43.039,1,3174
T425,Llama3-8B,16.0,8,43.0675,1,1930
T426,Llama3-8B,16.0,5,43.0836,1,3414
T427,Llama3-8B,16.0,5,43.0853,1,2531
T428,Llama3-8B,16.0,5,43.2032,1,2950
T429,Mistral-7B,14.0,8,43.2176,1,6287
T430,GLM4.7,356.0,5,43.2303,1,5103
T431,GLM4.7,356.0,9,43.5259,1,6054
T432,Llama3-70B,140.0,6,43.6083,0,936
T433,Qwen3,30.0,2,43.6217,1,2868
T434,GLM4.7,356.0,5,43.7926,0,1471
T435,Mistral-7B,14.0,9,43.8184,1,2167
T436,GLM4.7,356.0,5,43.9005,0,1553
T437,Qwen3,30.0,10,43.9361,1,6581
T438,Qwen3,30.0,9,43.9635,1,5999
T439,Qwen3,30.0,2,44.0432,1,942
T440,Llama3-70B,140.0,2,44.0708,1,4381
T441,Mistral-7B,14.0,9,44.1553,0,138
T442,Qwen3,30.0,8,44.2067,1,8171
T443,Llama3-70B,140.0,5,44.5144,1,6704
T444,GLM4.7,356.0,2,44.5713,1,996
T445,Mistral-7B,14.0,1,44.609,1,4895
T446,Qwen3,30.0,3,44.8604,1,7373
T447,DeepSeek-R1,672.0,8,44.8911,0,941
T448,Qwen3,30.0,5,44.9462,0,1914
T449,DeepSeek-R1,672.0,10,44.9491,1,5164
T450,DeepSeek-R1,672.0,5,45.059,0,814
T451,Llama3-70B,140.0,9,45.1403,0,1240
T452,Llama3-70B,140.0,9,45.1964,0,402
T453,Llama3-70B,140.0,2,45.2419,1,7137
T454,GLM4.7,356.0,5,45.2668,1,4271
T455,Mistral-7B,14.0,6,45.271,1,6546
T456,GLM4.7,356.0,4,45.6314,1,6715
T457,Qwen3,30.0,7,45.7274,1,5744
T458,Llama3-70B,140.0,7,46.1633,1,1222
T459,Mistral-7B,14.0,8,46.2788,1,1663
T460,GLM4.7,356.0,5,46.3183,0,141
T461,Llama3-70B,140.0,5,46.4549,1,6686
T462,GLM4.7,356.0,10,46.4941,1,6433
T463,DeepSeek-R1,672.0,4,46.5408,1,3457
T464,DeepSeek-R1,672.0,5,46.663,1,4324
T465,Qwen3,30.0,5,46.7353,1,4628
T466,Mistral-7B,14.0,5,46.7757,1,8016
T467,GLM4.7,356.0,3,46.8327,1,2307
T468,Llama3-70B,140.0,10,46.9465,1,6637
T469,GLM4.7,356.0,8,46.9619,1,5011
T470,Llama3-8B,16.0,4,47.0182,0,1818
T471,Qwen3,30.0,2,47.1455,1,5392
T472,Llama3-8B,16.0,6,47.3475,1,6277
T473,DeepSeek-R1,672.0,1,47.502,0,357
T474,Llama3-8B,16.0,10,47.6715,0,542
T475,Llama3-8B,16.0,9,47.6908,1,3199
T476,Llama3-70B,140.0,10,47.8607,1,2194
T477,Llama3-70B,140.0,8,47.8659,1,4692
T478,DeepSeek-R1,672.0,7,47.8983,1,4716
T479,Llama3-70B,140.0,8,48.0389,1,5089
T480,Mistral-7B,14.0,1,48.1267,0,1609
T481,Llama3-70B,140.0,4,48.3445,1,536
T482,Llama3-8B,16.0,6,48.4355,1,3982
T483,Mistral-7B,14.0,2,48.4498,1,1005
T484,Llama3-70B,140.0,3,48.52,1,3861
T485,Qwen3,30.0,7,48.5539,0,1621
T486,GLM4.7,356.0,8,48.6558,0,911
T487,Llama3-70B,140.0,9,48.8103,1,6104
T488,Qwen3,30.0,2,49.0575,1,3360
T489,Qwen3,30.0,9,49.2083,0,932
T490,Qwen3,30.0,1,49.2654,0,584
T491,DeepSeek-R1,672.0,9,49.3617,0,1076
T492,Llama3-70B,140.0,4,49.3946,1,7256
T493,Qwen3,30.0,5,49.4762,1,1782
T494,Qwen3,30.0,2,49.7575,0,1612
T495,DeepSeek-R1,672.0,10,49.7711,0,986
T496,DeepSeek-R1,672.0,2,49.8048,1,1063
T497,Llama3-8B,16.0,1,49.8061,1,5409
T498,Qwen3,30.0,8,49.8769,0,951
T499,Qwen3,30.0,1,49.9227,1,6691
T500,Qwen3,30.0,4,49.9641,1,2881
