Task,Workload,Memory,Deadline,Weight,ArrivalTime
T67,93,18,464.31,1,190.52
T68,256,20,591.31,3,191.93
T69,135,14,441.31,5,192.85
T70,269,7,968.62,3,193.34
T71,677,6,1332.62,1,193.94
T72,643,20,1794.2,4,196.22
T73,514,8,1164.24,2,196.68
T74,772,10,2309.0,4,200.01
T75,657,17,2058.31,3,203.4
T76,770,8,1386.97,1,209.75
T77,414,19,1298.0,1,209.78
T78,102,14,424.3,2,210.79
T79,595,10,1191.06,3,211.46
T80,706,16,1835.4,1,213.56
T81,555,11,1329.3,5,216.56
T82,368,23,976.85,5,222.66
T83,294,12,799.73,1,224.71
T84,299,17,1084.88,5,230.57
T85,310,6,1122.86,5,234.36
T86,388,22,993.61,1,235.97
T87,725,24,1634.18,4,237.52
T88,298,15,798.09,2,239.26
T89,266,16,810.23,1,239.97
T90,517,23,1098.29,4,242.8
T91,405,18,1188.46,1,250.31
T92,666,12,1339.53,1,254.19
T93,673,20,1433.85,2,254.93
T94,432,8,1321.2,2,255.21
T95,212,24,789.74,1,257.86
T96,469,19,1556.58,1,261.22
T97,263,17,784.58,4,264.74
T98,305,17,799.04,5,267.63
T99,786,16,2552.77,3,268.49
T100,631,11,1219.91,4,269.29
T101,766,16,2308.82,1,269.66
T102,409,24,933.53,5,271.27
T103,724,23,2209.97,1,274.24
T104,502,8,1538.44,2,277.64
T105,114,16,491.88,4,279.45
T106,296,22,1111.0,5,281.57
T107,266,11,915.55,2,283.69
T108,394,12,941.33,5,284.0
T109,119,13,603.73,2,286.93
T110,763,10,2126.29,1,287.04
T111,80,22,420.91,3,290.4
T112,373,8,1230.98,2,295.34
T113,335,20,881.0,1,297.48
T114,547,7,1197.08,4,299.48
T115,404,24,1264.26,2,299.49
T116,494,16,1617.99,3,301.96
T117,599,24,2051.73,3,303.83
T118,382,19,1096.08,1,308.0
T119,663,22,1638.04,4,308.75
T120,421,16,1168.4,5,309.2
T121,693,16,2070.43,3,311.36
T122,364,23,1261.64,5,315.43
T123,350,7,1323.02,1,318.84
T124,714,10,1660.83,2,320.23
T125,502,12,1672.15,2,322.34
T126,117,11,605.2,2,325.5
T127,641,23,1449.89,1,327.23
T128,126,17,541.06,5,328.54
T129,416,21,1498.64,2,328.71
T130,71,10,456.8,1,330.12
T131,253,6,983.68,1,331.6
T132,416,6,1285.26,5,332.2
T133,122,24,597.19,4,333.57
T134,629,22,1425.78,2,335.15
T135,164,12,584.46,4,336.18
T136,62,7,510.52,5,336.18
T137,770,16,1799.21,1,336.81
T138,104,10,569.51,3,338.86
T139,215,13,732.71,5,340.5
T140,605,20,2066.58,1,342.33
T141,630,13,2216.82,2,350.25
T142,728,23,1717.86,2,350.46
T143,158,7,654.38,3,353.54
T144,614,14,2155.88,3,361.24
T145,761,7,2411.65,3,364.97
T146,749,6,1715.95,1,366.91
T147,256,6,989.41,1,367.72
T148,550,6,1440.97,1,373.75
T149,211,11,994.56,2,374.38
T150,368,12,1482.48,3,381.18
T151,419,16,1188.75,5,382.17
T152,330,18,1217.59,1,382.62
T153,150,7,807.64,1,383.66
T154,680,20,1456.03,5,386.91
T155,779,14,2158.13,5,391.86
T156,249,24,1125.56,3,392.09
T157,245,7,968.71,3,393.02
T158,479,14,1535.76,4,395.3
T159,615,8,1378.53,4,396.96
T160,699,19,1770.73,1,397.71
T161,87,18,615.58,3,397.8
T162,474,16,1370.12,4,400.1
T163,525,6,1191.99,5,401.57
T164,325,7,1223.2,1,402.39
T165,314,16,1002.64,4,403.99
T166,466,16,1703.82,4,405.45
T167,442,15,1221.28,3,407.86
T168,129,19,671.02,3,411.31
T169,527,18,1503.24,3,416.14
T170,349,18,1017.41,5,417.69
T171,397,11,1127.72,1,419.87
T172,483,8,1847.37,2,420.85
T173,54,17,508.98,3,422.14
T174,199,12,878.17,2,422.55
T175,118,7,717.13,2,424.82
T176,308,23,1264.37,2,427.32
T177,570,8,1764.25,4,428.26
T178,246,7,978.5,5,428.8
T179,377,10,1260.01,5,429.07
T180,573,11,1983.14,3,436.65
T181,616,12,2159.23,3,441.7
T182,798,13,1906.92,1,445.59
T183,521,17,1270.83,5,449.6
T184,117,17,741.6,4,452.65
T185,334,16,1211.32,2,454.62
T186,59,23,626.07,5,455.76
T187,674,7,2396.09,2,458.92
T188,695,20,1553.48,2,459.63
T189,324,22,961.85,2,461.92
T190,750,18,2668.56,2,462.47
T191,104,13,666.28,2,466.03
T192,404,23,1656.07,5,466.29
T193,181,8,883.8,1,466.94
T194,755,10,2368.44,2,470.87
T195,76,19,659.61,1,471.4
T196,600,10,1659.65,1,472.17
T197,273,16,996.11,3,473.82
T198,416,12,1714.87,2,474.86
T199,760,17,2283.32,2,480.67
T200,460,18,1680.21,5,481.7
T201,639,19,1734.75,1,484.29
T202,307,13,1359.94,5,487.98
T203,615,23,1776.18,3,501.14
T204,432,13,1655.62,4,501.14
T205,312,20,1098.06,1,501.65
T206,318,8,1144.46,3,501.7
T207,349,21,1055.54,3,502.5
T208,195,8,986.27,1,505.85
T209,629,12,1989.86,2,507.5
T210,384,21,1479.82,2,510.45
T211,434,10,1798.04,4,512.55
T212,767,11,2334.99,4,512.77
T213,590,7,1488.27,5,513.7
T214,143,13,915.84,1,514.61
T215,200,22,830.3,5,520.44
T216,507,11,1555.17,4,520.91
T217,342,16,1065.79,5,521.07
T218,92,24,665.09,3,524.67
T219,90,8,794.61,1,525.32
T220,633,16,1907.79,3,529.02
T221,629,12,2335.75,2,529.81
T222,787,12,2514.96,2,529.89
T223,289,10,1374.73,3,532.3
T224,496,20,1763.66,3,533.65
T225,698,17,1728.72,5,534.31
T226,181,15,947.63,5,535.33
T227,740,13,1801.53,2,537.54
T228,645,21,2327.62,2,539.09
T229,437,12,1256.05,4,539.29
T230,138,18,796.76,2,544.22
T231,673,14,2336.95,3,545.98
T232,445,18,1508.89,1,546.22
T233,120,6,896.44,5,550.61
T234,252,16,1285.57,3,553.45
T235,356,14,1290.19,3,553.82
T236,263,16,1126.79,1,553.96
T237,321,18,1427.88,2,559.66
T238,102,17,798.27,1,563.49
T239,161,22,841.18,4,566.38
T240,337,13,1493.79,2,567.41
T241,355,13,1337.38,3,569.63
T242,799,15,2516.03,5,572.9
T243,479,7,1772.24,3,575.97
T244,654,16,1817.74,3,577.21
T245,116,10,767.47,4,577.28
T246,225,8,1101.26,5,587.04
T247,289,21,1354.38,1,587.37
T248,134,6,980.53,1,591.94
T249,650,19,2262.17,1,598.63
T250,716,19,2604.78,1,599.17
T251,524,23,2005.75,2,602.37
T252,601,17,1545.19,4,605.07
T253,790,21,2585.1,5,608.14
T254,295,20,1307.23,3,609.34
T255,325,21,1405.79,4,609.41
T256,180,22,1132.56,2,612.74
T257,748,6,2098.56,2,616.86
T258,621,22,2001.09,5,616.96
T259,203,20,1057.66,4,623.02
T260,712,14,2542.28,4,623.47
T261,323,7,1165.05,1,627.77
T262,428,24,1403.75,1,630.74
T263,165,16,1078.62,5,633.72
T264,704,24,2596.43,1,635.64
T265,145,15,1038.71,5,635.83
T266,85,6,863.51,3,639.73
T267,427,11,1346.71,4,639.92
T268,50,6,729.22,1,640.01
T269,742,13,2810.04,4,642.38
T270,370,24,1396.04,3,645.34
T271,730,13,2411.32,5,647.49
T272,392,12,1514.49,2,648.59
T273,750,24,1776.77,2,649.42
T274,489,21,2044.08,4,654.53
T275,187,24,1094.96,5,655.25
T276,426,6,1828.6,2,656.27
T277,660,22,2042.85,3,669.4
T278,336,11,1454.03,4,674.05
T279,461,13,1974.66,4,674.32
T280,643,16,2583.54,1,676.35
T281,344,6,1261.16,2,677.92
T282,207,19,1197.72,5,682.56
T283,794,13,2615.26,5,683.8
T284,321,8,1185.04,5,684.96
T285,169,6,1032.64,2,686.15
T286,401,12,1792.96,1,693.92
T287,615,14,2184.06,4,696.45
T288,460,24,1680.63,3,697.17
T289,793,12,2682.52,3,698.73
T290,67,23,864.69,1,701.2
T291,703,11,1855.28,3,702.26
T292,328,8,1240.59,1,702.33
T293,187,15,1035.71,2,705.43
T294,240,15,1228.09,4,705.52
T295,596,6,2284.22,4,711.9
T296,796,6,2551.54,3,712.06
T297,159,10,1001.37,2,714.87
T298,177,15,1165.95,5,719.21
T299,358,10,1630.43,5,720.4
T300,456,15,1407.28,3,720.86
T301,440,15,1760.0,3,725.67
T302,350,22,1454.97,5,725.89
T303,544,20,2321.25,2,727.03
T304,765,12,2866.53,2,732.68
T305,696,16,1963.25,3,734.55
T306,365,15,1314.61,1,735.2
T307,705,13,2161.36,2,740.93
T308,513,23,1876.63,2,742.22
T309,571,18,2364.7,4,744.42
T310,468,13,1722.49,2,748.77
T311,114,20,1070.27,2,749.71
T312,428,19,1775.98,3,753.87
T313,309,18,1330.91,4,754.38
T314,212,15,1277.58,2,760.69
T315,539,14,2201.91,1,762.47
T316,129,22,1054.91,3,765.65
T317,546,21,1594.18,1,771.99
T318,744,13,2766.65,2,772.31
T319,68,23,947.23,2,775.86
T320,422,20,1670.29,1,781.28
T321,747,19,2972.72,1,781.44
T322,454,14,1593.15,3,785.69
T323,338,11,1420.09,4,791.81
T324,142,17,1174.82,4,794.32
T325,507,10,1989.21,3,795.1
T326,537,13,1745.18,2,796.8
T327,288,6,1647.12,4,800.0
T328,244,10,1479.92,2,801.75
T329,173,22,1207.31,3,803.39
T330,116,12,1044.18,4,806.43
T331,173,17,1190.54,1,811.43
T332,411,11,1508.6,3,814.1
T333,305,6,1462.52,4,816.84
T334,132,12,1140.62,5,817.09
T335,169,24,1103.85,2,820.8
T336,680,18,2201.58,2,824.97
T337,389,14,1442.89,2,828.06
T338,744,22,1987.9,3,828.43
T339,124,14,1035.11,1,836.07
T340,642,17,2210.31,4,836.95
T341,733,15,2365.41,2,836.97
T342,794,21,2349.93,3,837.36
T343,711,17,2953.85,3,843.07
T344,385,18,1708.62,2,843.31
T345,156,17,1085.52,1,843.51
T346,68,18,1021.62,4,847.52
T347,646,22,2739.18,4,847.68
T348,461,23,1832.52,2,853.24
T349,799,20,2647.82,4,856.21
T350,247,8,1446.76,4,857.77
T351,172,22,1313.21,1,866.0
T352,90,18,1068.82,3,871.6
T353,412,22,1690.3,2,873.16
T354,181,19,1180.04,3,875.38
T355,683,18,2117.45,2,876.41
T356,383,22,1522.24,1,876.81
T357,62,10,1018.01,2,877.52
T358,517,11,2001.06,4,880.19
T359,754,13,2648.54,2,887.64
T360,360,23,1547.96,3,891.28
T361,743,6,2404.67,5,892.15
T362,788,21,2544.94,4,901.68
T363,103,23,1158.85,2,903.32
T364,357,21,1675.38,4,904.63
T365,466,13,1918.2,3,904.86
T366,713,12,2971.29,5,909.02
T367,164,23,1223.48,3,909.6
T368,709,22,2801.46,5,910.96
T369,350,11,1676.59,4,914.55
T370,778,24,2348.76,1,921.43
T371,358,17,1547.19,1,923.27
T372,434,10,1679.84,4,927.24
T373,149,14,1362.24,2,931.31
T374,277,6,1599.63,4,933.67
T375,750,19,2608.09,3,934.3
T376,781,16,2191.91,2,936.33
T377,721,23,2667.84,4,938.25
T378,361,10,1664.25,5,938.46
T379,757,22,2903.0,5,939.68
T380,180,16,1440.24,3,941.64
T381,192,8,1442.74,4,942.81
T382,363,6,2004.35,1,955.05
T383,482,23,2335.19,2,955.77
T384,86,15,1169.61,5,961.95
T385,668,16,2830.25,4,962.0
T386,514,12,1992.76,5,964.57
T387,389,13,1874.46,3,966.65
T388,275,12,1382.46,2,969.8
T389,194,8,1348.83,2,969.91
T390,513,12,1831.29,2,972.47
T391,651,19,2045.84,2,974.08
T392,117,15,1179.77,1,974.36
T393,177,22,1405.9,4,977.34
T394,124,11,1252.36,4,978.15
T395,695,6,2331.88,1,980.57
T396,138,12,1328.48,1,981.32
T397,441,7,2128.9,1,983.96
T398,501,22,1843.5,1,985.55
T399,743,15,2548.43,3,986.63
T400,56,18,1127.5,3,989.3
T401,148,16,1381.56,1,992.3
T402,703,18,2307.98,2,993.14
T403,255,11,1700.15,4,1002.18
T404,186,18,1313.75,3,1006.54
T405,203,16,1366.15,2,1007.11
T406,125,12,1288.89,4,1007.26
T407,280,21,1655.61,3,1007.32
T408,248,7,1700.97,5,1009.91
T409,705,12,2497.62,5,1010.27
T410,140,15,1411.05,3,1010.28
T411,434,10,2135.88,1,1010.34
T412,426,24,2116.51,1,1010.35
T413,406,10,1689.02,2,1014.34
T414,180,19,1512.22,5,1014.46
T415,390,7,1939.12,1,1014.5
T416,250,24,1437.79,2,1017.34
T417,313,17,1502.61,5,1018.04
T418,585,19,2506.05,2,1031.65
T419,94,10,1240.02,3,1035.7
T420,91,8,1239.44,5,1039.86
T421,600,23,2455.39,5,1043.34
T422,576,22,2168.14,3,1047.05
T423,560,23,2654.05,3,1047.74
T424,505,12,2018.18,3,1048.0
T425,276,15,1706.49,4,1048.92
T426,105,22,1346.78,2,1052.68
T427,102,12,1277.44,5,1052.99
T428,324,8,1770.74,2,1054.42
T429,64,20,1171.25,1,1056.85
T430,473,15,2318.14,5,1064.45
T431,411,21,1933.13,4,1064.99
T432,390,24,1809.12,3,1066.97
T433,318,18,1680.05,2,1067.23
T434,382,15,1940.43,4,1070.85
T435,674,23,2752.06,2,1076.13
T436,684,7,2999.46,5,1077.08
T437,150,11,1410.67,3,1078.39
T438,75,17,1294.69,5,1079.58
T439,485,17,1985.12,3,1083.85
T440,594,20,2620.82,2,1087.84
T441,497,13,2504.54,1,1094.1
T442,354,13,1877.68,4,1094.31
T443,456,18,2308.33,5,1103.13
T444,478,8,2432.56,3,1104.29
T445,364,23,2134.77,5,1105.87
T446,208,17,1647.68,1,1107.26
T447,665,19,2372.01,1,1108.73
T448,474,12,2078.03,4,1111.1
T449,112,16,1361.86,3,1111.47
T450,590,6,2359.98,5,1116.64
T451,73,19,1250.29,1,1124.2
T452,93,19,1355.18,5,1125.76
T453,226,13,1496.31,1,1125.9
T454,436,24,2266.71,3,1126.78
T455,614,7,2239.56,1,1128.49
T456,242,13,1565.0,3,1130.31
T457,207,15,1550.4,2,1130.71
T458,630,20,2507.56,3,1131.79
T459,65,11,1268.89,5,1143.75
T460,547,13,2050.53,5,1149.48
T461,429,14,2213.59,3,1153.38
T462,649,14,3052.87,1,1155.6
T463,514,19,2141.05,2,1158.76
T464,412,15,1983.1,1,1159.33
T465,315,10,2006.19,4,1162.24
T466,154,19,1611.62,5,1162.62
T467,734,8,2593.79,4,1166.85
T468,519,13,2526.62,5,1170.34
T469,247,15,1854.79,3,1171.34
T470,733,17,2878.23,3,1171.59
T471,516,12,2331.74,3,1177.49
T472,74,14,1302.82,2,1180.36
T473,250,13,1883.79,4,1185.45
T474,739,17,2382.58,1,1187.13
T475,146,21,1621.82,1,1187.56
T476,51,12,1334.56,2,1188.77
T477,795,21,2544.93,3,1189.82
T478,89,10,1442.8,3,1196.71
T479,188,13,1542.25,3,1202.16
T480,594,8,2249.43,3,1206.53
T481,616,6,2540.82,5,1207.16
T482,123,18,1431.55,4,1207.67
T483,679,15,2361.22,2,1207.84
T484,762,21,2893.03,4,1210.09
T485,259,7,1797.12,5,1211.21
T486,768,17,2950.09,1,1213.28
T487,359,12,2196.51,4,1214.74
T488,170,18,1693.36,1,1214.93
T489,399,23,1929.26,1,1215.75
T490,486,11,2147.5,1,1216.61
T491,746,17,2471.63,1,1217.56
T492,738,22,2906.11,3,1218.01
T493,120,6,1514.73,3,1218.33
T494,672,11,2379.5,4,1221.97
T495,168,7,1487.54,5,1222.22
T496,116,10,1399.57,4,1223.71
T497,159,19,1671.81,3,1226.0
T498,190,21,1708.58,3,1229.59
T499,391,19,2235.37,4,1229.63
T500,622,12,2408.74,1,1231.96
T501,63,13,1419.69,5,1237.58
T502,220,24,1703.3,2,1242.81
T503,628,18,2559.45,5,1243.21
T504,597,22,2511.55,1,1245.92
T505,65,12,1350.79,5,1247.23
T506,693,6,3139.55,1,1248.35
T507,218,19,1851.01,3,1248.65
T508,738,8,2694.93,2,1248.87
T509,248,6,1643.03,4,1250.05
T510,622,13,3079.58,2,1256.22
T511,341,22,1859.23,3,1258.33
T512,737,24,2424.0,2,1268.04
T513,265,10,1897.07,4,1269.3
T514,76,13,1484.81,1,1275.64
T515,413,17,2049.22,5,1275.79
T516,494,21,2730.15,1,1276.87
T517,735,23,2461.03,5,1277.26
T518,415,15,2429.3,1,1277.72
T519,61,12,1461.78,1,1281.85
T520,467,11,2580.01,2,1284.51
T521,458,21,2257.93,5,1286.4
T522,687,23,2893.79,3,1287.93
T523,357,6,2321.06,3,1288.72
T524,169,21,1694.77,1,1289.87
T525,278,15,1713.34,4,1295.05
T526,242,14,1712.63,2,1295.31
T527,112,6,1486.31,1,1296.07
T528,646,18,2870.84,2,1300.48
T529,585,19,2274.7,4,1301.28
T530,223,17,1910.5,1,1301.99
T531,453,18,2231.13,5,1304.58
T532,417,18,2110.75,4,1306.71
T533,437,6,2529.23,2,1306.78
T534,586,23,2482.1,1,1308.38
T535,447,7,2401.51,1,1308.59
T536,163,22,1564.25,3,1309.98
T537,158,24,1776.89,1,1314.27
T538,561,16,2984.89,4,1318.54
T539,652,10,2389.94,5,1323.23
T540,691,6,2888.9,1,1324.79
T541,595,22,2753.77,2,1328.11
T542,623,22,2411.09,5,1334.79
T543,474,16,2652.03,4,1338.7
T544,276,24,2066.3,3,1341.25
T545,170,16,1679.21,1,1346.67
T546,752,12,3360.51,4,1348.47
T547,246,7,1727.28,1,1349.04
T548,318,19,1867.94,5,1349.48
T549,543,8,2801.93,4,1351.27
T550,443,22,2134.7,4,1356.09
T551,706,13,2663.59,4,1358.71
T552,339,10,2049.35,2,1359.66
T553,158,12,1698.99,2,1361.08
T554,448,12,2630.11,1,1365.69
T555,479,23,2359.57,3,1366.79
T556,87,7,1523.66,5,1367.26
T557,149,13,1806.14,1,1368.01
T558,592,22,2297.72,1,1368.87
T559,648,10,2452.23,2,1369.93
T560,642,20,2416.16,2,1374.1
T561,696,21,3375.76,4,1376.54
T562,446,8,2710.77,1,1380.38
T563,691,20,2608.34,1,1381.49
T564,429,8,2212.2,4,1382.86
T565,542,18,2288.15,5,1383.49
T566,583,17,2493.45,5,1387.79
T567,588,8,2621.36,5,1390.58
T568,559,21,2501.5,5,1391.24
T569,641,18,2740.11,3,1395.77
T570,57,13,1529.62,4,1397.44
T571,413,14,2126.72,5,1397.59
T572,618,11,2936.07,3,1398.28
T573,615,24,2592.52,5,1402.18
T574,458,23,2410.45,2,1402.91
T575,420,23,2476.95,5,1410.76
T576,187,19,1944.71,4,1414.09
T577,691,8,2631.06,4,1415.77
T578,359,22,2102.13,4,1416.35
T579,512,8,2865.7,1,1421.83
T580,418,10,2355.35,1,1422.17
T581,174,13,1923.68,2,1422.85
T582,711,23,3336.6,3,1424.96
T583,151,20,1870.44,1,1431.34
T584,396,7,2339.13,3,1433.21
T585,155,11,1807.48,3,1434.54
T586,143,6,1811.03,2,1437.68
T587,668,15,3356.46,5,1437.78
T588,344,10,1969.26,3,1439.55
T589,589,13,2545.28,4,1440.71
T590,699,7,3420.47,4,1442.86
T591,800,8,2838.26,1,1444.4
T592,637,6,2573.97,3,1450.01
T593,138,23,1678.4,3,1450.24
T594,452,17,2210.17,2,1451.36
T595,211,14,1991.46,3,1452.61
T596,728,13,3177.73,3,1456.37
T597,382,8,2065.25,4,1458.7
T598,95,10,1719.78,5,1459.08
T599,371,15,2018.02,5,1459.21
T600,154,12,1699.71,2,1459.84
T601,658,12,2493.57,1,1461.61
T602,636,6,2989.5,3,1462.95
T603,148,13,1802.75,5,1464.11
T604,79,16,1648.69,1,1465.85
T605,585,6,2839.07,3,1467.4
T606,777,12,3661.89,5,1468.57
T607,286,12,2197.82,1,1476.1
T608,300,7,2346.39,2,1477.51
T609,225,20,2039.23,5,1478.64
T610,664,14,2693.85,1,1480.25
T611,498,21,2382.96,4,1480.77
T612,558,16,2450.63,5,1482.02
T613,454,19,2577.05,3,1484.01
T614,510,22,2795.04,5,1484.85
T615,715,24,3539.67,1,1485.55
T616,594,20,3194.2,5,1486.36
T617,139,23,1758.33,2,1486.82
T618,401,21,2532.94,5,1489.0
T619,317,16,2390.25,1,1490.33
T620,142,8,1775.71,5,1491.14
T621,724,18,2603.64,3,1493.02
T622,473,8,2914.26,1,1496.06
T623,185,8,1947.47,3,1496.11
T624,705,23,3560.45,5,1497.88
T625,729,13,2700.39,5,1507.17
T626,390,20,2482.76,2,1507.74
T627,264,15,1909.33,3,1508.42
T628,99,24,1687.07,3,1510.76
T629,335,21,2098.21,1,1511.67
T630,55,22,1615.73,1,1511.91
T631,439,8,2232.75,1,1512.4
T632,587,7,3282.26,4,1521.97
T633,95,17,1689.4,1,1522.0
T634,299,21,2143.11,3,1531.05
T635,336,13,2356.73,2,1537.9
T636,489,11,2577.62,3,1546.38
T637,157,24,1796.83,2,1554.39
T638,368,18,2161.92,2,1558.42
T639,342,6,2235.19,4,1560.48
T640,221,21,2153.2,2,1561.3
T641,76,23,1783.61,5,1561.81
T642,347,11,2192.64,5,1568.06
T643,237,13,2062.71,2,1569.79
T644,149,21,1962.99,1,1571.42
T645,201,24,2167.19,4,1580.15
T646,230,19,2121.5,4,1581.87
T647,237,14,2078.57,3,1583.75
T648,121,15,1909.76,5,1586.3
T649,57,11,1758.16,5,1587.34
T650,489,16,2977.64,3,1588.45
T651,778,16,3009.6,5,1596.24
T652,752,6,3811.75,2,1597.07
T653,291,7,2344.78,2,1604.61
T654,631,15,2828.03,3,1605.83
T655,91,24,1817.86,5,1607.54
T656,725,15,3557.45,3,1608.36
T657,218,7,2211.87,5,1608.43
T658,591,16,3362.55,4,1610.34
T659,57,15,1781.58,5,1614.81
T660,147,13,2005.97,5,1615.95
T661,325,20,2429.41,1,1617.36
T662,613,19,2661.7,4,1618.3
T663,330,10,2496.43,2,1620.78
T664,785,17,3903.32,2,1623.53
T665,143,17,1895.86,1,1624.5
T666,798,17,3188.81,4,1624.9
T667,501,23,2930.95,3,1624.94
T668,237,24,2040.41,2,1629.3
T669,394,7,2715.84,3,1633.31
T670,107,7,1909.51,4,1633.72
T671,294,23,2331.1,5,1634.76
T672,398,22,2402.92,4,1634.76
T673,736,17,3712.01,5,1634.85
T674,369,10,2343.49,2,1634.98
T675,434,8,2651.11,1,1638.8
T676,274,8,2099.22,4,1641.44
T677,492,20,3007.84,2,1641.6
T678,730,20,2950.96,3,1644.64
T679,416,11,2308.99,3,1645.84
T680,627,11,2735.61,2,1647.53
T681,275,23,2101.8,3,1653.1
T682,437,10,2706.61,1,1667.7
T683,347,12,2473.24,5,1668.84
T684,278,17,2201.9,4,1670.42
T685,311,18,2453.0,1,1671.8
T686,357,10,2668.82,5,1673.15
T687,87,8,1935.51,5,1683.56
T688,400,24,2622.31,1,1691.9
T689,768,22,3061.22,1,1693.41
T690,125,21,1883.32,4,1695.09
T691,262,14,2329.32,5,1704.78
T692,406,22,2487.16,2,1705.11
T693,523,14,3029.98,5,1705.67
T694,466,14,2953.86,2,1706.04
T695,178,11,2185.22,1,1706.29
T696,616,14,3154.85,4,1711.85
T697,344,19,2248.1,5,1712.82
T698,107,17,1995.55,1,1713.76
T699,681,22,3310.29,3,1719.15
T700,777,14,3212.53,2,1719.94
T701,419,10,2839.11,3,1723.71
T702,102,24,1884.63,4,1727.49
T703,537,20,2793.21,5,1728.19
T704,250,21,2317.77,5,1730.36
T705,328,7,2442.67,5,1731.84
T706,358,21,2583.64,2,1735.51
T707,297,19,2463.07,4,1735.98
T708,262,10,2309.84,4,1737.01
T709,654,13,3287.97,5,1739.08
T710,469,16,3105.71,3,1749.12
T711,281,8,2221.8,1,1751.87
T712,687,15,3404.63,1,1752.37
T713,371,22,2636.17,1,1755.79
T714,620,19,3097.35,5,1761.64
T715,464,13,2621.49,2,1762.14
T716,250,20,2350.99,3,1765.87
T717,780,18,3519.12,4,1768.68
T718,407,11,2442.4,1,1772.38
T719,457,11,2822.55,2,1772.94
T720,189,23,2142.55,2,1774.54
T721,566,8,3328.56,1,1780.5
T722,231,21,2195.68,4,1781.56
T723,688,23,2940.73,1,1782.76
T724,689,24,3463.5,3,1785.97
T725,312,24,2292.6,1,1791.89
T726,354,19,2723.6,2,1794.81
T727,394,15,2703.24,3,1797.5
T728,693,23,3206.23,1,1799.14
T729,564,23,3202.71,2,1799.68
T730,439,12,3020.59,2,1801.85
T731,302,21,2594.84,1,1802.45
T732,318,11,2760.84,2,1807.05
T733,170,13,2168.9,3,1809.7
T734,265,11,2411.07,4,1810.37
T735,536,6,2897.48,2,1814.15
T736,630,17,3263.11,2,1819.22
T737,79,7,2022.27,4,1821.04
T738,93,19,2097.32,1,1822.82
T739,484,10,2687.43,2,1826.87
T740,191,20,2337.38,3,1829.62
T741,69,16,2018.02,5,1839.84
T742,463,17,2954.39,5,1840.16
T743,534,10,2816.95,3,1840.5
T744,116,12,2090.88,3,1840.69
T745,611,19,3357.91,2,1850.43
T746,62,13,1958.22,1,1852.33
T747,672,12,3652.43,3,1853.95
T748,81,7,2055.33,2,1861.11
T749,458,10,2607.06,3,1862.21
T750,430,12,3098.53,5,1863.91
T751,651,21,3742.24,3,1865.25
T752,797,8,3430.11,1,1867.36
T753,788,18,3727.86,3,1869.03
T754,365,7,2789.84,4,1873.14
T755,325,17,2688.72,1,1876.6
T756,396,21,3059.15,1,1880.34
T757,52,20,2014.91,4,1883.58
T758,353,24,2483.76,1,1890.76
T759,287,22,2639.14,3,1894.09
T760,311,13,2528.92,3,1898.77
