Task,Workload,Memory,Deadline,Weight,ArrivalTime
T100,337,20,62.07,1,52.4
T101,769,21,66.74,5,52.5
T102,285,18,57.99,5,52.71
T103,502,17,63.42,4,53.1
T104,261,16,59.12,3,53.41
T105,370,11,60.57,4,53.51
T106,733,18,74.43,1,53.52
T107,677,21,74.64,4,53.72
T108,659,7,73.57,2,54.35
T109,650,16,74.51,2,54.47
T110,626,17,76.03,3,56.0
T111,783,10,76.18,2,56.23
T112,247,17,63.04,4,58.79
T113,270,6,68.21,2,60.82
T114,554,7,77.31,2,61.26
T115,498,22,72.53,4,61.89
T116,292,12,71.65,2,62.44
T117,700,24,76.34,2,62.83
T118,522,8,76.02,1,63.22
T119,253,23,71.55,5,63.22
T120,507,6,79.96,3,63.7
T121,399,13,71.91,4,65.01
T122,762,16,78.83,1,65.08
T123,513,21,74.3,4,65.28
T124,616,12,83.69,4,66.12
T125,684,11,88.51,3,66.2
T126,659,19,81.13,1,66.58
T127,760,10,90.69,2,68.52
T128,535,7,85.31,2,68.56
T129,330,17,78.83,2,69.23
T130,511,21,80.0,5,70.17
T131,216,14,74.88,2,71.08
T132,397,15,84.01,5,73.13
T133,735,23,93.7,1,74.04
T134,790,11,97.06,3,74.2
T135,407,10,87.42,1,75.79
T136,732,13,91.92,4,75.97
T137,571,7,94.78,4,76.62
T138,273,11,82.06,5,76.66
T139,749,22,97.15,3,76.93
T140,708,10,94.11,3,77.18
T141,441,14,90.23,3,77.76
T142,638,24,90.21,2,78.0
T143,594,12,90.03,5,78.38
T144,356,10,87.91,5,78.68
T145,562,15,88.53,3,79.02
T146,206,7,85.26,2,79.39
T147,341,15,89.51,4,81.0
T148,210,10,87.21,2,81.41
T149,586,11,99.02,1,82.31
T150,768,20,97.41,1,82.34
T151,507,11,99.36,4,82.74
T152,799,7,108.98,2,82.88
T153,424,20,96.54,2,83.02
T154,409,18,93.23,2,83.33
T155,529,24,100.15,2,84.05
T156,442,7,96.36,4,84.05
T157,475,16,98.8,3,84.13
T158,574,20,102.07,2,84.41
T159,785,7,105.51,2,84.71
T160,343,21,96.01,1,85.6
T161,200,15,89.99,2,86.16
T162,748,16,109.03,1,87.78
T163,286,17,96.43,1,89.07
T164,492,6,98.05,1,89.12
T165,610,8,107.17,2,89.7
T166,661,22,103.77,2,89.84
T167,731,16,110.2,3,90.38
T168,449,12,99.16,2,90.67
T169,331,23,97.31,1,90.85
T170,204,13,96.08,5,91.9
T171,319,10,99.21,1,93.58
T172,396,18,102.85,1,93.87
T173,602,8,105.0,5,94.1
T174,438,6,104.32,4,94.33
T175,605,7,110.24,2,95.98
T176,776,19,115.92,1,96.19
T177,444,14,108.46,2,96.34
T178,639,24,116.68,5,97.03
T179,528,23,110.62,3,97.65
T180,712,24,119.61,3,97.82
T181,721,8,114.08,1,98.78
T182,359,6,106.98,2,98.96
T183,745,12,116.71,5,99.01
T184,489,15,114.8,4,99.25
T185,688,23,121.35,4,99.94
T186,288,19,105.33,4,100.05
T187,321,13,109.7,1,100.46
T188,347,12,108.19,4,101.36
T189,474,18,109.88,5,101.69
T190,500,6,113.12,2,101.78
T191,698,14,115.46,3,102.32
T192,221,14,109.57,3,102.32
T193,487,23,117.51,4,102.5
T194,362,11,113.27,5,102.81
T195,311,24,112.18,5,103.16
T196,523,22,116.38,2,103.39
T197,408,16,116.91,3,104.22
T198,662,12,117.62,5,104.24
T199,723,18,119.12,5,104.8
T200,665,12,117.16,4,105.33
T201,549,18,117.86,4,105.71
T202,603,8,118.9,5,105.72
T203,202,14,109.68,4,105.99
T204,376,19,112.38,2,106.1
T205,225,15,112.49,3,106.47
T206,264,10,112.59,1,107.27
T207,775,19,124.57,3,107.85
T208,517,10,124.31,4,108.02
T209,496,8,120.14,3,108.08
T210,557,10,120.31,3,108.65
T211,278,23,117.1,1,109.25
T212,554,20,121.32,2,109.6
T213,502,11,120.67,2,110.02
T214,758,7,131.04,4,110.52
T215,349,6,121.99,4,110.53
T216,351,21,120.94,2,111.8
T217,391,24,124.11,3,112.96
T218,490,21,127.61,2,114.48
T219,305,22,121.16,3,115.03
T220,533,19,131.89,4,115.73
T221,394,10,126.07,1,116.66
T222,644,24,130.09,3,117.17
T223,781,19,143.57,4,118.38
T224,484,20,132.19,4,119.58
T225,740,15,140.05,1,119.99
T226,561,13,132.11,1,120.06
T227,742,20,138.25,5,120.15
T228,637,19,136.96,1,120.33
T229,795,14,136.76,3,120.82
T230,567,6,136.7,5,121.02
T231,538,6,137.42,2,121.33
T232,301,6,128.05,2,121.73
T233,361,11,129.83,4,122.65
T234,341,19,136.68,2,126.4
T235,456,14,141.56,3,127.65
T236,443,8,137.18,1,128.71
T237,555,11,142.18,3,128.96
T238,765,21,151.81,1,129.05
T239,581,22,147.09,1,129.63
T240,338,15,135.8,4,129.85
T241,220,7,134.59,1,130.6
T242,419,20,140.34,2,130.82
T243,226,22,136.75,3,131.08
T244,320,8,141.35,5,131.3
T245,572,24,144.85,1,131.56
T246,509,17,142.7,5,132.28
T247,790,17,157.67,2,132.39
T248,788,20,153.03,5,135.79
T249,612,15,155.71,2,136.43
T250,565,22,154.04,5,136.43
T251,753,24,149.57,1,136.58
T252,201,22,142.25,3,137.15
T253,642,10,152.83,3,137.23
T254,698,10,149.65,4,137.62
T255,314,18,144.49,3,137.85
T256,657,14,153.78,3,138.24
T257,303,23,144.08,1,138.63
T258,689,8,157.52,1,139.33
T259,504,22,153.36,5,140.03
T260,584,15,150.79,3,140.04
T261,561,6,157.92,4,141.73
T262,410,20,154.06,5,142.55
T263,323,17,150.28,2,142.98
T264,591,22,154.56,5,143.09
T265,650,13,158.87,4,143.36
T266,255,19,149.1,5,143.43
T267,668,8,162.78,5,143.47
T268,367,24,154.26,5,145.86
T269,561,24,161.49,5,146.14
T270,664,16,160.11,3,146.29
T271,747,18,161.71,2,146.88
T272,652,6,158.5,4,146.94
T273,426,16,159.3,4,147.1
T274,655,14,163.05,3,148.16
T275,392,8,159.07,3,149.35
T276,607,17,163.34,5,149.63
T277,649,11,164.92,2,149.65
T278,242,10,155.76,4,149.71
T279,604,16,165.59,3,149.95
T280,638,8,171.76,4,151.53
T281,546,12,168.71,2,152.88
T282,279,10,162.49,5,153.69
T283,369,13,165.68,5,154.07
T284,585,20,171.47,2,154.23
T285,719,16,172.37,4,154.51
T286,334,22,164.48,2,155.13
T287,202,15,162.12,2,155.44
T288,377,12,168.53,1,156.91
T289,800,13,174.62,2,156.91
T290,314,6,165.44,2,156.94
T291,290,21,166.07,2,157.32
T292,792,17,177.0,3,157.81
T293,695,20,178.61,1,158.23
T294,230,11,164.48,4,159.34
T295,628,6,172.18,1,159.37
T296,465,24,170.3,3,159.87
T297,470,17,169.46,4,160.02
T298,698,11,176.54,3,160.09
T299,608,20,173.77,1,160.16
T300,586,11,175.1,5,160.84
T301,625,19,176.85,4,162.44
T302,635,19,174.89,1,162.73
T303,322,23,169.11,5,162.9
T304,252,7,167.89,3,163.0
T305,621,13,182.68,2,163.09
T306,389,12,172.95,2,163.49
T307,400,10,175.76,2,163.65
T308,238,7,171.03,1,164.06
T309,307,14,173.7,1,164.78
T310,486,13,177.87,2,165.02
T311,640,23,179.36,5,165.36
T312,782,22,186.39,4,165.48
T313,311,23,173.53,1,165.75
T314,291,6,175.51,5,165.92
T315,298,15,172.41,1,166.53
T316,495,18,179.71,3,166.7
T317,601,6,177.52,5,167.15
T318,709,15,188.35,1,167.63
T319,229,12,175.52,5,167.99
T320,322,18,178.84,5,168.43
T321,797,8,187.75,5,168.79
T322,537,23,178.65,5,168.97
T323,531,16,180.82,4,169.67
T324,622,6,190.42,3,169.83
T325,648,7,191.3,1,170.0
T326,348,11,179.18,4,170.46
T327,308,10,176.47,5,170.75
T328,362,17,181.23,1,171.14
T329,465,10,181.79,5,172.21
T330,682,24,188.87,3,172.4
T331,588,8,191.4,1,172.68
T332,701,22,195.52,4,173.31
T333,232,24,179.8,5,173.8
T334,261,17,181.83,1,174.24
T335,635,13,193.37,1,174.63
T336,421,15,185.1,1,174.97
T337,219,19,178.83,1,175.03
T338,597,22,186.59,1,175.19
T339,258,17,182.47,2,175.23
T340,295,24,182.06,5,175.4
T341,520,12,188.83,1,176.04
T342,782,16,195.37,5,176.13
T343,360,18,183.22,2,176.35
T344,204,19,182.24,5,176.61
T345,520,17,191.94,2,176.74
T346,373,22,186.71,4,178.77
T347,224,8,183.35,5,179.08
T348,588,13,197.25,1,180.19
T349,363,22,186.56,1,180.2
T350,412,14,191.36,3,180.31
T351,557,16,194.89,1,180.61
T352,476,20,192.97,5,181.03
T353,764,14,201.03,5,181.62
T354,257,17,189.14,2,181.73
T355,565,23,193.77,3,181.98
T356,459,11,196.33,2,185.26
T357,462,22,200.65,3,185.44
T358,468,11,193.91,2,185.46
T359,641,19,204.53,1,185.8
T360,302,13,195.22,2,186.33
T361,481,7,199.71,4,187.09
T362,638,6,207.87,2,188.48
T363,486,16,206.26,3,190.95
T364,768,19,210.88,1,191.96
T365,501,10,202.93,4,192.1
T366,640,17,205.91,4,192.21
T367,660,15,206.98,5,192.5
T368,375,12,204.79,2,192.78
T369,743,12,216.07,4,193.01
T370,334,12,203.22,4,193.2
T371,527,15,206.71,1,193.87
T372,757,21,213.3,1,194.1
T373,657,20,214.94,3,194.74
T374,517,8,203.41,5,194.74
T375,481,7,205.08,2,195.52
T376,310,13,203.45,1,195.58
T377,224,8,202.12,5,196.09
T378,586,21,211.54,5,196.37
T379,566,8,208.74,1,197.1
T380,253,22,204.66,4,197.35
T381,724,6,217.58,2,197.65
T382,484,12,207.52,5,197.98
T383,499,11,209.41,2,197.99
T384,705,18,217.62,1,198.31
T385,792,20,219.76,4,199.77
T386,591,19,218.29,4,199.9
T387,499,7,212.2,2,200.55
T388,702,17,214.07,3,200.63
T389,363,18,211.53,1,201.26
T390,762,22,214.66,5,201.54
T391,420,7,210.8,1,201.75
T392,248,21,209.34,2,202.18
T393,435,22,211.59,3,204.26
T394,444,12,212.43,5,204.47
T395,711,11,220.54,2,204.47
T396,231,12,212.31,3,206.51
T397,218,14,213.91,5,206.88
T398,790,21,223.2,5,207.08
T399,245,6,213.52,3,208.26
T400,681,6,230.31,2,208.35
T401,300,8,215.71,2,209.67
T402,749,17,232.69,5,210.16
T403,501,17,226.12,2,210.92
T404,686,20,223.38,2,211.28
T405,638,11,229.39,5,211.3
T406,446,11,225.47,5,211.71
T407,781,10,235.71,3,211.92
T408,467,23,221.63,1,212.04
T409,753,14,230.1,5,212.08
T410,561,16,230.01,1,213.05
T411,587,15,229.86,2,213.88
T412,790,12,228.12,2,213.95
T413,796,17,238.04,5,214.02
T414,601,7,234.44,2,214.51
T415,719,24,230.3,4,214.87
T416,271,14,223.94,5,217.66
T417,238,24,222.35,3,217.93
T418,654,21,236.49,5,218.13
T419,287,16,227.35,3,218.47
T420,311,6,226.27,5,218.48
T421,348,18,227.68,3,218.53
T422,647,15,240.26,3,218.81
T423,357,18,227.9,2,219.16
T424,563,21,235.28,2,220.1
T425,693,10,240.65,2,220.24
T426,686,20,238.73,2,220.82
T427,517,7,236.15,4,222.43
T428,455,23,235.71,1,222.94
T429,552,16,236.73,2,224.22
T430,367,14,233.28,5,224.22
T431,381,10,235.85,1,224.71
T432,487,20,234.6,5,224.82
T433,406,23,235.22,3,225.2
T434,596,20,243.37,1,225.59
T435,358,7,232.93,2,225.99
T436,681,15,239.46,5,226.3
T437,439,21,237.37,4,226.64
T438,769,16,247.48,3,227.97
T439,585,21,243.11,4,228.61
T440,769,13,252.76,5,228.65
T441,571,7,245.24,5,228.9
T442,724,8,251.44,4,229.46
T443,289,13,235.7,5,229.53
T444,281,19,237.13,1,230.27
T445,524,11,239.77,3,230.37
T446,642,20,246.77,3,230.7
T447,639,17,250.99,1,231.13
T448,251,6,239.45,1,232.81
T449,484,22,243.68,4,234.16
T450,656,11,251.01,4,234.18
T451,557,13,251.75,3,234.26
T452,451,22,242.45,5,234.45
T453,316,14,242.23,1,235.05
T454,601,7,245.76,4,235.48
T455,424,15,246.96,3,235.59
T456,544,8,253.89,1,235.76
T457,642,15,253.81,5,235.98
T458,623,21,250.56,1,236.09
T459,440,18,248.3,5,237.63
T460,483,10,253.0,3,239.29
T461,379,6,250.77,4,239.67
T462,594,13,256.84,1,239.8
T463,202,7,245.72,4,240.74
T464,786,13,264.97,3,241.74
T465,728,6,257.79,2,242.1
T466,338,20,252.3,4,242.52
T467,495,18,255.25,4,242.64
T468,345,23,251.91,4,243.6
T469,278,6,248.74,3,243.87
T470,681,24,257.46,3,244.24
T471,688,22,259.26,5,244.43
T472,710,8,266.6,2,244.57
T473,256,21,250.27,5,244.59
T474,404,11,255.74,2,244.68
T475,740,14,267.29,4,244.76
T476,570,23,258.22,1,245.63
T477,461,22,260.27,1,245.87
T478,759,24,267.73,5,246.34
T479,716,21,265.38,1,246.73
T480,467,13,261.43,3,247.79
T481,584,24,265.27,3,248.33
T482,663,11,270.43,4,248.47
T483,671,6,270.79,3,249.4
T484,227,24,256.9,2,249.6
T485,345,23,260.5,4,250.49
T486,441,6,261.14,4,252.24
T487,210,19,256.9,1,252.43
T488,736,7,276.97,5,253.54
T489,538,14,264.81,4,253.73
T490,706,8,275.22,1,253.92
T491,629,23,274.43,1,254.07
T492,221,22,260.07,3,254.38
T493,397,6,267.03,5,254.69
T494,705,23,274.84,3,255.17
T495,209,14,259.47,4,255.23
T496,687,21,278.31,2,255.81
T497,521,21,266.29,4,255.81
T498,422,18,269.12,3,256.06
T499,441,23,265.05,5,256.33
T500,799,12,278.06,4,256.48
T501,226,23,260.9,5,256.7
T502,226,20,261.66,4,256.76
T503,457,8,266.56,1,257.4
T504,798,6,273.09,5,258.2
T505,524,11,275.39,3,258.51
T506,477,20,270.54,3,258.84
T507,539,15,272.38,2,258.9
T508,355,24,267.03,3,258.95
T509,708,22,282.67,4,259.66
T510,611,24,273.34,1,260.31
T511,247,21,267.58,4,260.78
T512,414,16,271.31,3,261.49
T513,769,8,280.63,1,262.64
T514,296,17,269.59,3,262.83
T515,345,16,272.93,1,264.46
T516,300,18,273.53,4,265.93
T517,547,13,283.56,3,266.22
T518,419,8,276.87,4,266.32
T519,249,17,272.35,2,266.69
T520,290,18,273.18,1,266.82
T521,355,20,275.47,1,267.56
T522,405,18,280.72,5,267.67
T523,464,13,277.79,4,268.15
T524,308,10,273.55,1,268.19
T525,792,22,295.04,2,268.98
T526,772,7,290.34,3,269.42
T527,400,19,277.85,3,269.86
T528,252,19,274.83,5,269.99
T529,480,11,285.36,4,270.19
T530,644,7,281.61,4,270.43
T531,614,6,287.47,4,270.48
T532,712,19,287.45,4,271.43
T533,210,12,278.2,4,271.46
T534,608,10,283.67,1,272.33
T535,364,12,282.65,1,272.41
T536,269,7,278.44,5,272.5
T537,703,13,294.89,4,273.61
T538,741,14,289.38,3,274.08
T539,646,18,290.83,3,274.29
T540,235,24,279.83,2,274.42
T541,780,19,296.7,4,274.45
T542,526,23,291.58,4,274.95
T543,599,11,291.34,4,274.95
T544,260,23,282.3,1,275.66
T545,330,22,285.32,2,277.32
T546,392,7,290.37,4,277.6
T547,725,23,293.43,2,277.74
T548,322,17,284.44,2,277.96
T549,517,7,291.58,5,278.0
T550,417,18,288.68,5,278.13
T551,439,14,286.54,2,279.03
T552,622,19,298.86,5,279.19
T553,513,8,293.9,5,279.76
T554,241,11,286.05,4,279.88
T555,405,12,291.95,4,280.65
T556,774,18,300.1,3,280.77
T557,209,8,288.0,5,281.08
T558,326,11,290.51,1,282.35
T559,516,23,293.24,5,283.1
T560,526,18,298.43,2,283.37
T561,283,23,289.43,5,283.89
T562,284,19,291.43,1,284.29
T563,797,13,307.37,4,284.41
T564,275,19,293.32,2,284.62
T565,680,24,300.78,3,284.81
T566,224,8,292.31,4,284.95
T567,754,12,299.43,1,285.68
T568,555,18,299.67,5,285.89
T569,431,7,297.44,3,285.89
T570,332,14,294.32,3,286.3
T571,257,6,294.77,3,286.4
T572,667,10,309.73,4,288.24
T573,463,19,299.31,1,290.06
T574,431,15,304.27,4,290.2
T575,713,21,304.81,2,290.24
T576,576,10,305.76,3,290.49
T577,216,14,295.66,5,290.96
T578,244,14,296.99,2,291.69
T579,576,18,306.04,5,291.69
T580,797,15,308.16,5,292.4
T581,327,24,299.8,4,293.47
T582,530,23,310.8,3,294.26
T583,779,16,315.81,1,296.11
T584,349,16,303.72,4,296.47
T585,401,10,307.15,4,296.61
T586,665,23,313.77,1,297.72
T587,730,11,316.49,4,298.53
T588,305,10,307.83,1,298.79
T589,489,15,312.46,2,299.64
T590,628,17,312.59,3,300.14
T591,773,21,324.1,4,300.31
T592,472,11,315.84,4,300.59
T593,588,24,310.99,4,301.07
T594,715,13,316.88,5,302.2
T595,233,22,309.12,4,302.93
T596,344,24,314.78,2,303.85
T597,311,24,312.97,4,304.46
T598,766,13,327.12,4,305.02
T599,298,24,314.84,4,305.09
T600,709,7,317.82,4,305.17
T601,469,21,314.21,3,305.27
T602,604,14,319.26,4,305.56
T603,304,17,313.93,4,307.95
T604,416,6,315.98,5,307.97
T605,236,8,312.11,3,308.11
T606,336,7,316.64,5,308.63
T607,320,11,317.61,2,309.05
T608,695,12,328.82,5,309.71
T609,419,15,323.52,1,309.85
T610,324,19,319.37,1,310.23
T611,320,13,319.21,3,310.9
T612,443,21,322.0,3,311.19
T613,396,15,319.85,4,311.58
T614,299,13,319.13,2,311.98
T615,768,22,335.85,2,313.46
T616,610,21,333.12,2,313.86
T617,213,13,319.89,2,314.09
T618,774,24,332.52,4,315.46
T619,440,20,328.85,5,315.97
T620,754,6,333.07,3,317.32
T621,707,20,335.06,4,317.85
T622,773,23,341.77,4,318.0
T623,585,7,328.91,5,319.14
T624,334,23,327.04,5,319.25
T625,461,23,328.38,4,320.61
T626,294,23,328.64,3,320.96
T627,299,11,331.03,2,321.1
T628,644,21,341.06,1,321.31
T629,393,11,332.76,5,321.44
T630,645,8,339.34,3,321.81
T631,559,24,336.75,1,322.03
T632,699,11,344.54,5,322.2
T633,216,24,327.79,4,322.47
T634,578,10,341.45,3,322.77
T635,368,6,331.27,3,323.46
T636,495,15,339.47,5,324.37
T637,493,16,336.16,3,325.08
T638,564,20,341.54,1,325.53
T639,468,6,339.63,2,325.62
T640,617,11,342.38,4,326.26
T641,781,11,339.78,2,326.75
T642,487,15,338.43,3,327.29
T643,312,16,333.28,2,327.51
T644,263,6,333.42,3,327.66
T645,728,11,341.59,1,328.12
T646,520,6,339.03,1,328.15
T647,317,8,335.5,3,328.18
T648,396,13,338.97,3,328.78
T649,763,16,347.53,5,328.9
T650,736,24,342.27,2,328.93
T651,569,7,343.91,3,329.42
T652,301,8,338.77,1,329.7
T653,672,18,348.48,3,330.71
T654,438,13,348.88,2,334.71
T655,660,21,349.03,4,334.8
T656,769,12,348.91,2,335.07
T657,331,23,346.22,1,336.61
T658,397,7,350.46,4,337.67
T659,750,16,358.29,4,338.04
T660,496,15,348.08,2,338.2
T661,291,16,344.81,4,338.95
T662,484,15,351.35,4,339.49
T663,643,23,351.49,5,339.59
T664,667,10,351.19,5,339.76
T665,613,8,359.15,2,340.67
T666,446,8,355.78,2,341.35
T667,516,18,354.78,2,342.42
T668,506,13,354.48,4,342.59
T669,512,13,353.79,1,343.0
T670,320,22,350.53,5,343.15
T671,222,14,348.11,2,343.74
T672,639,12,356.13,3,344.14
T673,276,18,354.5,1,345.4
T674,485,18,357.75,5,346.96
T675,236,15,353.82,1,347.07
T676,355,22,353.91,1,347.33
T677,275,19,355.31,5,348.2
T678,597,13,365.09,1,348.61
T679,319,15,358.12,4,349.02
T680,738,13,370.39,4,350.1
T681,432,13,361.73,4,350.83
T682,336,6,362.03,2,351.6
T683,416,17,362.03,4,352.22
T684,321,22,362.13,3,352.25
T685,404,19,362.33,5,352.43
T686,621,21,365.39,4,353.2
T687,525,16,363.4,5,353.93
T688,437,17,364.38,4,354.25
T689,232,10,361.94,5,354.61
T690,702,11,373.12,4,355.65
T691,540,19,365.58,2,355.92
T692,749,11,376.59,5,358.43
T693,348,20,368.38,4,358.63
T694,355,13,368.86,4,358.95
T695,627,6,369.9,3,359.14
T696,519,12,369.4,2,359.37
T697,252,20,364.84,4,359.93
T698,712,7,375.49,2,359.99
T699,377,7,373.4,3,361.12
T700,329,19,369.4,4,361.79
T701,456,22,375.66,1,362.34
T702,359,6,370.88,4,362.61
T703,528,14,377.47,2,363.32
T704,621,10,382.19,2,364.02
T705,756,7,389.27,3,364.92
T706,231,22,369.79,5,364.96
T707,299,8,373.66,3,365.0
T708,248,18,371.94,5,365.69
T709,533,14,382.91,2,365.87
T710,296,15,371.33,4,365.93
T711,220,10,370.06,4,366.28
T712,417,8,374.97,3,366.41
T713,526,11,379.62,4,366.88
T714,489,23,376.76,2,367.31
T715,264,18,375.07,5,367.69
T716,319,6,375.96,4,368.22
T717,455,10,382.69,4,369.5
T718,776,8,394.97,3,369.51
T719,244,17,375.54,5,370.3
T720,596,18,381.63,3,370.85
T721,750,13,391.3,4,370.86
T722,753,17,390.12,1,371.08
T723,790,14,387.16,1,371.95
T724,570,22,389.48,1,372.1
T725,528,8,384.71,3,373.19
T726,590,13,384.06,3,373.26
T727,681,6,392.45,2,373.42
T728,297,18,383.6,1,373.75
T729,715,19,395.96,2,373.88
T730,343,10,381.66,2,374.73
T731,611,12,385.56,3,374.77
T732,216,13,380.99,4,375.06
T733,594,7,394.75,1,375.15
T734,405,11,383.74,5,376.41
T735,357,17,383.45,2,376.56
T736,430,23,386.79,3,376.57
T737,426,14,389.78,2,376.61
T738,411,11,387.16,1,377.02
T739,589,7,395.1,3,377.14
T740,637,6,397.7,2,377.73
T741,707,21,394.08,1,377.88
T742,408,10,388.8,4,378.47
T743,485,21,387.14,4,379.03
T744,698,15,400.98,5,380.92
T745,433,14,393.25,1,381.09
T746,629,13,397.14,2,381.15
T747,223,7,387.01,5,382.62
T748,735,8,404.04,3,382.69
T749,276,8,388.3,1,383.35
T750,461,17,391.82,2,383.56
T751,386,17,394.83,3,384.2
T752,583,24,404.81,2,385.4
T753,216,14,390.39,3,385.49
T754,373,11,396.78,3,386.24
T755,387,22,397.82,1,387.5
T756,664,17,409.1,2,387.89
T757,485,19,401.82,3,387.89
T758,492,17,401.73,4,387.89
T759,287,18,392.93,5,388.03
T760,552,17,401.5,2,388.24
T761,742,19,404.51,2,388.74
T762,536,17,405.99,1,389.02
T763,790,20,413.43,2,389.73
T764,796,18,410.37,2,390.43
T765,524,24,402.43,5,390.54
T766,328,7,399.87,2,390.89
T767,372,12,399.48,5,391.21
T768,548,10,400.65,1,391.4
T769,275,12,400.36,3,391.45
T770,399,11,404.36,5,391.82
T771,511,12,403.54,2,392.18
T772,724,13,414.07,4,392.64
T773,633,7,412.82,4,393.32
T774,417,13,402.85,4,393.48
T775,355,16,402.2,2,394.49
T776,757,18,409.25,3,394.49
T777,221,20,401.74,2,394.76
T778,335,17,402.6,1,394.92
T779,657,24,407.38,4,395.33
T780,786,16,419.65,2,395.58
T781,674,13,414.22,3,396.48
T782,289,18,405.02,3,396.81
T783,723,21,420.32,3,396.91
T784,741,17,413.69,1,397.37
T785,630,17,415.99,4,397.41
T786,373,22,407.41,1,398.03
T787,364,16,406.19,4,398.48
T788,614,10,411.46,2,399.17
T789,777,18,425.43,4,401.14
T790,565,6,419.85,1,401.95
T791,740,16,417.71,2,402.09
T792,705,20,423.32,2,402.9
T793,391,8,410.13,4,403.31
T794,278,13,412.04,3,403.67
T795,423,18,413.09,5,404.42
T796,285,21,412.83,3,404.44
T797,253,19,413.42,5,405.69
T798,324,14,416.86,4,406.58
T799,664,15,423.64,3,406.88
T800,369,10,415.93,3,406.91
T801,411,21,416.2,2,407.47
T802,752,22,428.77,3,408.46
T803,370,10,415.74,1,408.7
T804,786,14,425.12,5,408.91
T805,349,6,420.84,2,409.46
T806,379,6,421.58,3,410.34
T807,201,23,415.88,4,410.56
T808,688,11,428.21,4,411.16
T809,522,7,426.71,4,411.58
T810,464,20,425.75,3,411.7
T811,272,22,419.8,4,412.19
T812,673,18,432.76,4,412.96
T813,357,8,421.2,4,413.53
T814,513,15,424.95,1,415.18
T815,481,23,427.74,3,417.27
T816,630,15,434.13,4,418.04
T817,598,23,433.79,3,418.45
T818,349,20,426.71,2,419.54
T819,413,19,430.89,1,419.58
T820,644,20,439.11,1,420.75
